regime,sweep,x_value,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high
common,N-sweep,1600.0,PB-SCM,directed_f1,100,100,0.0,0.08063994859330703,0.13100052249052874,0.013100052249052873,0.0549638461851634,0.10631605100145067,0.0549638461851634,0.10631605100145067
common,N-sweep,1600.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.012666666666666661,0.0491071942367128,0.00491071942367128,0.0030416565962709512,0.022291676737062373,0.0030416565962709512,0.022291676737062373
common,N-sweep,1600.0,PC-RCIT,directed_f1,100,100,0.0,0.4905452847805789,0.1888371868146418,0.018883718681464177,0.4535331961649091,0.5275573733962486,0.4535331961649091,0.5275573733962486
common,N-sweep,2400.0,LibraryDP,directed_f1,100,100,0.0,0.9668442658790485,0.04579066037898032,0.0045790660378980325,0.9578692964447684,0.9758192353133286,0.9578692964447684,0.9758192353133286
common,N-sweep,2400.0,LibraryGreedy,directed_f1,100,100,0.0,0.9035440038222647,0.13589775323978753,0.013589775323978754,0.8769080441872664,0.9301799634572631,0.8769080441872664,0.9301799634572631
common,N-sweep,2400.0,ODS,directed_f1,100,100,0.0,0.5798401518870844,0.14061519170693765,0.014061519170693764,0.5522795743125246,0.6074007294616441,0.5522795743125246,0.6074007294616441
common,N-sweep,2400.0,OracleDP,directed_f1,100,100,0.0,0.9616992587123022,0.04905550928279885,0.004905550928279885,0.9520843788928737,0.9713141385317308,0.9520843788928737,0.9713141385317308
common,N-sweep,2400.0,PB-SCM,directed_f1,100,100,0.0,0.09783532308764505,0.13831610236088565,0.013831610236088565,0.07072536702491146,0.12494527915037863,0.07072536702491146,0.12494527915037863
common,N-sweep,2400.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.009904761904761902,0.04158873354881326,0.004158873354881326,0.001753370129194503,0.0180561536803293,0.001753370129194503,0.0180561536803293
common,N-sweep,2400.0,PC-RCIT,directed_f1,100,100,0.0,0.5154061075924719,0.1759597581431255,0.01759597581431255,0.48091799499641924,0.5498942201885244,0.48091799499641924,0.5498942201885244
common,N-sweep,3200.0,LibraryDP,directed_f1,100,100,0.0,0.9730920885877409,0.040938177943418474,0.004093817794341847,0.9650682057108309,0.9811159714646509,0.9650682057108309,0.9811159714646509
common,N-sweep,3200.0,LibraryGreedy,directed_f1,100,100,0.0,0.9048773133045444,0.14960475186956848,0.014960475186956848,0.8755547819381089,0.9341998446709798,0.8755547819381089,0.9341998446709798
common,N-sweep,3200.0,ODS,directed_f1,100,100,0.0,0.5816032959862817,0.14303384155346077,0.014303384155346077,0.5535686630418034,0.60963792893076,0.5535686630418034,0.60963792893076
common,N-sweep,3200.0,OracleDP,directed_f1,100,100,0.0,0.9686252690948344,0.04673039817121667,0.0046730398171216676,0.959466111053276,0.9777844271363928,0.959466111053276,0.9777844271363928
common,N-sweep,3200.0,PB-SCM,directed_f1,100,100,0.0,0.10238526434006308,0.128084977262775,0.012808497726277502,0.07728060879655918,0.12748991988356698,0.07728060879655918,0.12748991988356698
common,N-sweep,3200.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.022252747252747243,0.06146548772971979,0.006146548772971979,0.010205511657722165,0.03429998284777232,0.010205511657722165,0.03429998284777232
common,N-sweep,3200.0,PC-RCIT,directed_f1,100,100,0.0,0.5489407009735452,0.19332810001945505,0.019332810001945505,0.511048393369732,0.5868330085773584,0.511048393369732,0.5868330085773584
common,N-sweep,6400.0,LibraryDP,directed_f1,100,100,0.0,0.9810191040843215,0.030960279708076566,0.003096027970807657,0.9749508892615385,0.9870873189071044,0.9749508892615385,0.9870873189071044
common,N-sweep,6400.0,LibraryGreedy,directed_f1,100,100,0.0,0.9287980541197933,0.12888694527245637,0.012888694527245637,0.9035362128463919,0.9540598953931948,0.9035362128463919,0.9540598953931948
common,N-sweep,6400.0,ODS,directed_f1,100,100,0.0,0.6099817680242838,0.1517198017345615,0.01517198017345615,0.5802446868843097,0.6397188491642579,0.5802446868843097,0.6397188491642579
common,N-sweep,6400.0,OracleDP,directed_f1,100,100,0.0,0.9780786223438398,0.03234655304750789,0.0032346553047507887,0.9717386979465282,0.9844185467411514,0.9717386979465282,0.9844185467411514
common,N-sweep,6400.0,PB-SCM,directed_f1,100,100,0.0,0.11847724768662982,0.15220122947843426,0.015220122947843426,0.0886458067088567,0.14830868866440294,0.0886458067088567,0.14830868866440294
common,N-sweep,6400.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.008571428571428568,0.039685425580487745,0.003968542558048774,0.0007930851576529712,0.016349771985204167,0.0007930851576529712,0.016349771985204167
common,N-sweep,6400.0,PC-RCIT,directed_f1,100,100,0.0,0.5905725791460749,0.1933089453340623,0.01933089453340623,0.5526840258605986,0.6284611324315511,0.5526840258605986,0.6284611324315511
common,N-sweep,10000.0,LibraryDP,directed_f1,100,100,0.0,0.9837929664538358,0.030688585010179827,0.0030688585010179826,0.9777780037918407,0.989807929115831,0.9777780037918407,0.989807929115831
common,N-sweep,10000.0,LibraryGreedy,directed_f1,100,100,0.0,0.9243076619033141,0.13498199136337558,0.013498199136337558,0.8978511915960925,0.9507641322105358,0.8978511915960925,0.9507641322105358
common,N-sweep,10000.0,ODS,directed_f1,100,100,0.0,0.6276680717125831,0.15589299763018505,0.015589299763018505,0.5971130441770668,0.6582230992480994,0.5971130441770668,0.6582230992480994
common,N-sweep,10000.0,OracleDP,directed_f1,100,100,0.0,0.9815894969764536,0.03384999562055523,0.0033849995620555233,0.9749548978348248,0.9882240961180824,0.9749548978348248,0.9882240961180824
common,N-sweep,10000.0,PB-SCM,directed_f1,100,100,0.0,0.1316821557355613,0.15573766104490078,0.015573766104490077,0.10115757417076075,0.16220673730036186,0.10115757417076075,0.16220673730036186
common,N-sweep,10000.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.025178571428571425,0.06992901950929997,0.006992901950929997,0.011472483604748632,0.03888465925239422,0.011472483604748632,0.03888465925239422
common,N-sweep,10000.0,PC-RCIT,directed_f1,100,100,0.0,0.6242392479493705,0.20796254570607736,0.020796254570607735,0.5834785889909793,0.6649999069077617,0.5834785889909793,0.6649999069077617
common,d-sweep,4.0,LibraryDP,directed_f1,100,100,0.0,0.9823333333333334,0.05095675869717221,0.005095675869717221,0.9723458086286877,0.9923208580379791,0.9723458086286877,0.9923208580379791
common,d-sweep,4.0,LibraryGreedy,directed_f1,100,100,0.0,0.880060606060606,0.18726123611727552,0.01872612361172755,0.8433574037816199,0.916763808339592,0.8433574037816199,0.916763808339592
common,d-sweep,4.0,ODS,directed_f1,100,100,0.0,0.6490303030303031,0.19760059071648317,0.019760059071648316,0.6103005872498724,0.6877600188107338,0.6103005872498724,0.6877600188107338
common,d-sweep,4.0,OracleDP,directed_f1,100,100,0.0,0.9861515151515152,0.040574148336146997,0.0040574148336146995,0.9781989820776305,0.9941040482254,0.9781989820776305,0.9941040482254
common,d-sweep,4.0,PB-SCM,directed_f1,100,100,0.0,0.13788383838383841,0.2589053680363768,0.025890536803637683,0.08713838624870857,0.18862929051896826,0.08713838624870857,0.18862929051896826
common,d-sweep,4.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.09096031746031745,0.1742250301611457,0.01742250301611457,0.056812211548732894,0.125108423371902,0.056812211548732894,0.125108423371902
common,d-sweep,4.0,PC-RCIT,directed_f1,100,100,0.0,0.051666666666666666,0.14251386168778016,0.014251386168778015,0.023733949775861757,0.07959938355747158,0.023733949775861757,0.07959938355747158
common,d-sweep,5.0,LibraryDP,directed_f1,100,100,0.0,0.9760774617539323,0.05131587582519118,0.005131587582519118,0.9660195500921949,0.9861353734156697,0.9660195500921949,0.9861353734156697
common,d-sweep,5.0,LibraryGreedy,directed_f1,100,100,0.0,0.8616530920060331,0.19439972995867388,0.01943997299586739,0.823550744934133,0.8997554390779332,0.823550744934133,0.8997554390779332
common,d-sweep,5.0,ODS,directed_f1,100,100,0.0,0.6346896208366796,0.18447374552440146,0.018447374552440145,0.5985327667138969,0.6708464749594623,0.5985327667138969,0.6708464749594623
common,d-sweep,5.0,OracleDP,directed_f1,100,100,0.0,0.974822559793148,0.0514871444376829,0.00514871444376829,0.9647310794833622,0.9849140401029338,0.9647310794833622,0.9849140401029338
common,d-sweep,5.0,PB-SCM,directed_f1,100,100,0.0,0.14666344766344766,0.20643414983412844,0.020643414983412843,0.10620235429595848,0.18712454103093684,0.10620235429595848,0.18712454103093684
