regime,sweep,x_value,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high,panel
common,N-sweep,1600,ODS,directed_f1,100,100,0.0,0.7296362622324272,0.12312237929229633,0.012312237929229633,0.7055042758911371,0.7537682485737173,0.7055042758911371,0.7537682485737173,main_directed_f1
common,N-sweep,1600,PC-RCIT,directed_f1,100,100,0.0,0.4709656446102469,0.21553172008905394,0.021553172008905393,0.42872142747279235,0.5132098617477014,0.42872142747279235,0.5132098617477014,main_directed_f1
common,N-sweep,3200,Fixed-Poisson DP,directed_f1,100,100,0.0,0.9904956521739132,0.024762402547285685,0.0024762402547285683,0.9856422212746452,0.9953490830731813,0.9856422212746452,0.9953490830731813,main_directed_f1
common,N-sweep,3200,LibraryDP,directed_f1,100,100,0.0,0.9880260869565217,0.03316977420496845,0.0033169774204968453,0.9815248112123479,0.9945273627006955,0.9815248112123479,0.9945273627006955,main_directed_f1
common,N-sweep,3200,LibraryGreedy,directed_f1,100,100,0.0,0.8580868001563654,0.19876205523443294,0.019876205523443293,0.8191294373304165,0.8970441629823143,0.8191294373304165,0.8970441629823143,main_directed_f1
common,N-sweep,3200,ODS,directed_f1,100,100,0.0,0.7671830574609894,0.12133994021065843,0.012133994021065842,0.7434004291797003,0.7909656857422784,0.7434004291797003,0.7909656857422784,main_directed_f1
common,N-sweep,3200,PC-RCIT,directed_f1,100,100,0.0,0.5385491460574245,0.24606611041922705,0.024606611041922705,0.49032018841525604,0.586778103699593,0.49032018841525604,0.586778103699593,main_directed_f1
common,N-sweep,6400,Fixed-Poisson DP,directed_f1,100,100,0.0,0.9967,0.01522369675082051,0.001522369675082051,0.9937161554368392,0.9996838445631608,0.9937161554368392,0.9996838445631608,main_directed_f1
common,N-sweep,6400,LibraryDP,directed_f1,100,100,0.0,0.9967,0.01522369675082051,0.001522369675082051,0.9937161554368392,0.9996838445631608,0.9937161554368392,0.9996838445631608,main_directed_f1
common,N-sweep,6400,LibraryGreedy,directed_f1,100,100,0.0,0.8380179993919125,0.19824381793506682,0.019824381793506683,0.7991622110766393,0.8768737877071856,0.7991622110766393,0.8768737877071856,main_directed_f1
common,N-sweep,6400,ODS,directed_f1,100,100,0.0,0.7779948215147615,0.14631290583456447,0.014631290583456446,0.7493174919711869,0.8066721510583361,0.7493174919711869,0.8066721510583361,main_directed_f1
common,N-sweep,6400,PC-RCIT,directed_f1,100,100,0.0,0.5951246803069052,0.2031505040368196,0.02031505040368196,0.5553071815156886,0.6349421790981219,0.5553071815156886,0.6349421790981219,main_directed_f1
common,N-sweep,10000,Fixed-Poisson DP,directed_f1,100,100,0.0,0.9979333333333333,0.012334470782019914,0.0012334470782019915,0.9955157770600574,1.0003508896066093,0.9955157770600574,1.0,main_directed_f1
