regime,sweep,x_value,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high
common,d-sweep,7.0,LibraryDP,conditional_alpha_mape,100,100,0.0,7.349020358202783,4.998286234458152,0.4998286234458152,6.369356256248985,8.32868446015658,6.369356256248985,8.32868446015658
common,d-sweep,7.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,9.414676691876513,7.268550931287383,0.7268550931287383,7.9900407093441865,10.839312674408841,7.9900407093441865,10.839312674408841
common,d-sweep,7.0,OracleDP,conditional_alpha_mape,100,100,0.0,7.209233124378145,4.7391573880539415,0.47391573880539417,6.280358276319573,8.138107972436718,6.280358276319573,8.138107972436718
common,d-sweep,8.0,LibraryDP,conditional_alpha_mape,100,100,0.0,7.405321935343798,4.420597624629969,0.4420597624629969,6.538884800916324,8.27175906977127,6.538884800916324,8.27175906977127
common,d-sweep,8.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,10.566184597948277,7.933899647105339,0.7933899647105339,9.01114026711563,12.121228928780925,9.01114026711563,12.121228928780925
common,d-sweep,8.0,OracleDP,conditional_alpha_mape,100,100,0.0,7.435442825263385,4.51423752557792,0.45142375255779205,6.550652270250112,8.320233380276658,6.550652270250112,8.320233380276658
common,d-sweep,9.0,LibraryDP,conditional_alpha_mape,100,100,0.0,7.357417365125844,4.947722555779387,0.4947722555779387,6.387663744193084,8.327170986058604,6.387663744193084,8.327170986058604
common,d-sweep,9.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,9.42724528077532,7.312505678488753,0.7312505678488753,7.9939941677915245,10.860496393759115,7.9939941677915245,10.860496393759115
common,d-sweep,9.0,OracleDP,conditional_alpha_mape,100,100,0.0,6.803721306908894,3.8440018113045102,0.38440018113045105,6.05029695189321,7.5571456619245785,6.05029695189321,7.5571456619245785
common,d-sweep,10.0,LibraryDP,conditional_alpha_mape,100,100,0.0,6.55376484179342,2.826187178274211,0.2826187178274211,5.999832154851674,7.107697528735166,5.999832154851674,7.107697528735166
common,d-sweep,10.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,7.562539591796565,3.8684470116415017,0.38684470116415015,6.80432397751483,8.3207552060783,6.80432397751483,8.3207552060783
common,d-sweep,10.0,OracleDP,conditional_alpha_mape,100,100,0.0,6.415680314509441,2.8095687638750984,0.2809568763875098,5.865004836789922,6.96635579222896,5.865004836789922,6.96635579222896
common,density-sweep,1.0,LibraryDP,conditional_alpha_mape,100,100,0.0,6.878591646328387,4.389833177408002,0.43898331774080024,6.018184343556419,7.738998949100356,6.018184343556419,7.738998949100356
common,density-sweep,1.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,7.117011365136659,4.548444430082071,0.45484444300820714,6.2255162568405735,8.008506473432746,6.2255162568405735,8.008506473432746
common,density-sweep,1.0,OracleDP,conditional_alpha_mape,100,100,0.0,7.2140482216583415,5.239513868605174,0.5239513868605175,6.187103503411727,8.240992939904956,6.187103503411727,8.240992939904956
common,density-sweep,1.5,LibraryDP,conditional_alpha_mape,100,100,0.0,7.405321935343798,4.420597624629969,0.4420597624629969,6.538884800916324,8.27175906977127,6.538884800916324,8.27175906977127
common,density-sweep,1.5,LibraryGreedy,conditional_alpha_mape,100,100,0.0,10.566184597948277,7.933899647105339,0.7933899647105339,9.01114026711563,12.121228928780925,9.01114026711563,12.121228928780925
common,density-sweep,1.5,OracleDP,conditional_alpha_mape,100,100,0.0,7.435442825263385,4.51423752557792,0.45142375255779205,6.550652270250112,8.320233380276658,6.550652270250112,8.320233380276658
common,density-sweep,2.0,LibraryDP,conditional_alpha_mape,100,100,0.0,8.724746585535152,6.496019685779941,0.6496019685779941,7.451526727122284,9.997966443948021,7.451526727122284,9.997966443948021
common,density-sweep,2.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,12.744021632667472,8.830078624920402,0.8830078624920402,11.013326222183073,14.474717043151871,11.013326222183073,14.474717043151871
common,density-sweep,2.0,OracleDP,conditional_alpha_mape,100,100,0.0,7.865041700814552,5.579781581037978,0.5579781581037978,6.7714045109311085,8.958678890697996,6.7714045109311085,8.958678890697996
common,density-sweep,2.5,LibraryDP,conditional_alpha_mape,100,100,0.0,14.315130327621238,12.715952735850687,1.2715952735850686,11.822803591394504,16.807457063847973,11.822803591394504,16.807457063847973
common,density-sweep,2.5,LibraryGreedy,conditional_alpha_mape,100,100,0.0,30.060741004186053,24.214269581957275,2.4214269581957275,25.314744166122427,34.806737842249674,25.314744166122427,34.806737842249674
common,density-sweep,2.5,OracleDP,conditional_alpha_mape,100,100,0.0,9.136441145536864,5.174510417138284,0.5174510417138284,8.12223710377776,10.150645187295968,8.12223710377776,10.150645187295968
common,density-sweep,3.0,LibraryDP,conditional_alpha_mape,100,100,0.0,25.13077052433774,20.439848651019382,2.043984865101938,21.12456018873794,29.13698085993754,21.12456018873794,29.13698085993754
common,density-sweep,3.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,50.99704887092608,36.7187395971984,3.67187395971984,43.80017590987519,58.193921831976965,43.80017590987519,58.193921831976965
common,density-sweep,3.0,OracleDP,conditional_alpha_mape,100,100,0.0,10.80334210003982,7.555889964903174,0.7555889964903174,9.322387666918798,12.284296533160843,9.322387666918798,12.284296533160843
expanded,N-sweep,100.0,LibraryDP,conditional_alpha_mape,100,100,0.0,25.75666808300547,18.445818454829794,1.8445818454829794,22.14128766585883,29.372048500152108,22.14128766585883,29.372048500152108
expanded,N-sweep,100.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,28.933828402637833,26.420691637356626,2.6420691637356626,23.755372841715932,34.11228396355973,23.755372841715932,34.11228396355973
expanded,N-sweep,100.0,OracleDP,conditional_alpha_mape,100,100,0.0,20.9576865644162,14.156940002727874,1.4156940002727874,18.18292632388154,23.73244680495086,18.18292632388154,23.73244680495086
