setting,regime,sweep,sweep_value,method,expected_R,R_total,R_success,R_failed,mean_F1,sd_F1,se_F1,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high,mean_runtime_sec
all_poisson,restricted,average_in_degree,1.0,Greedy-BIC,100,100,100,0,0.8658830532212884,0.199481532400792,0.0199481532400792,0.8267846728707332,0.9049814335718437,0.8267846728707332,0.9049814335718437,0.8951518519991077
all_poisson,restricted,average_in_degree,1.0,Poisson-only DP,100,100,100,0,0.9791176470588234,0.047142305630743675,0.004714230563074367,0.9698777551551977,0.9883575389624492,0.9698777551551977,0.9883575389624492,0.30809324700268914
all_poisson,restricted,average_in_degree,1.0,ODS,100,100,100,0,0.7788596413046878,0.18186991190941715,0.018186991190941713,0.743213138570442,0.8145061440389335,0.743213138570442,0.8145061440389335,0.28884545099950626
all_poisson,restricted,average_in_degree,1.0,PC-RCIT,100,100,100,0,0.578858979256038,0.2519820303964724,0.02519820303964724,0.5294705012983294,0.6282474572137466,0.5294705012983294,0.6282474572137466,2.9474468910016003
all_poisson,restricted,average_in_degree,1.0,PB-SCM,100,100,100,0,0.45188882359470595,0.18056751107997743,0.018056751107997742,0.4164975914230304,0.4872800557663815,0.4164975914230304,0.4872800557663815,7.221565641000634
all_poisson,restricted,average_in_degree,1.0,PB-SCM-PGF,100,100,100,0,0.015636363636363636,0.0533395939225546,0.00533395939225546,0.005181803227542935,0.026090924045184337,0.005181803227542935,0.026090924045184337,0.522154181000078
all_poisson,restricted,average_in_degree,1.5,Proposed DP-BIC,100,100,100,0,0.9841579710144929,0.03655577493894001,0.003655577493894001,0.9769930391264606,0.9913229029025251,0.9769930391264606,0.9913229029025251,11.313263413998357
all_poisson,restricted,average_in_degree,1.5,Greedy-BIC,100,100,100,0,0.7861304016434453,0.22794736412465605,0.022794736412465606,0.7414527182750127,0.8308080850118779,0.7414527182750127,0.8308080850118779,1.3780275090012584
all_poisson,restricted,average_in_degree,1.5,Poisson-only DP,100,100,100,0,0.9904666666666668,0.028256560673583193,0.002825656067358319,0.9849283807746445,0.9960049525586891,0.9849283807746445,0.9960049525586891,0.3101428140010103
all_poisson,restricted,average_in_degree,1.5,ODS,100,100,100,0,0.7582554181339788,0.1437173246012928,0.01437173246012928,0.7300868225121254,0.7864240137558322,0.7300868225121254,0.7864240137558322,0.49811362699809253
all_poisson,restricted,average_in_degree,1.5,PC-RCIT,100,100,100,0,0.5649630277254789,0.19875659243679072,0.019875659243679074,0.5260067356078679,0.6039193198430899,0.5260067356078679,0.6039193198430899,7.689084923999035
all_poisson,restricted,average_in_degree,1.5,PB-SCM,100,100,100,0,0.48203731209488376,0.14957964807778587,0.014957964807778588,0.4527197010716377,0.5113549231181298,0.4527197010716377,0.5113549231181298,11.967448370998609
all_poisson,restricted,average_in_degree,1.5,PB-SCM-PGF,100,100,100,0,0.01954761904761904,0.059304835317733486,0.005930483531773349,0.007923871325343276,0.031171366769894803,0.007923871325343276,0.031171366769894803,0.531881231002044
all_poisson,restricted,average_in_degree,2.0,Proposed DP-BIC,100,100,100,0,0.9870350684261976,0.029340977338683627,0.002934097733868363,0.9812842368678156,0.9927858999845796,0.9812842368678156,0.9927858999845796,14.284646087999572
all_poisson,restricted,average_in_degree,2.0,Greedy-BIC,100,100,100,0,0.6998015539796439,0.23079996379132697,0.023079996379132696,0.6545647610765438,0.7450383468827441,0.6545647610765438,0.7450383468827441,1.8164107969999896
all_poisson,restricted,average_in_degree,2.0,Poisson-only DP,100,100,100,0,0.9914907135874879,0.021949894507221682,0.0021949894507221684,0.9871885342640724,0.9957928929109033,0.9871885342640724,0.9957928929109033,0.3144780850003008
all_poisson,restricted,average_in_degree,2.0,ODS,100,100,100,0,0.7949823267948172,0.09692264543821955,0.009692264543821955,0.7759854882889261,0.8139791653007082,0.7759854882889261,0.8139791653007082,0.7534597869994468
all_poisson,restricted,average_in_degree,2.0,PC-RCIT,100,100,100,0,0.46920477889378587,0.18436326078538856,0.018436326078538855,0.4330695797798497,0.505339978007722,0.4330695797798497,0.505339978007722,15.543217515001015
all_poisson,restricted,average_in_degree,2.0,PB-SCM,100,100,100,0,0.5032654827677038,0.13953922369468624,0.013953922369468625,0.4759157949235453,0.5306151706118623,0.4759157949235453,0.5306151706118623,13.746968988001463
all_poisson,restricted,average_in_degree,2.0,PB-SCM-PGF,100,100,100,0,0.01754970760233918,0.051058493607940396,0.00510584936079404,0.007542242855182863,0.027557172349495496,0.007542242855182863,0.027557172349495496,0.5309763269990799
all_poisson,restricted,average_in_degree,2.5,Proposed DP-BIC,100,100,100,0,0.9799681708962837,0.03486215263093265,0.0034862152630932646,0.9731351889806209,0.9868011528119466,0.9731351889806209,0.9868011528119466,17.86498836599989
all_poisson,restricted,average_in_degree,2.5,Greedy-BIC,100,100,100,0,0.5941456322841582,0.19456147993265455,0.019456147993265456,0.5560115822173579,0.6322796823509584,0.5560115822173579,0.6322796823509584,2.247654595997883
all_poisson,restricted,average_in_degree,2.5,Poisson-only DP,100,100,100,0,0.9855476942826107,0.030874396754982953,0.0030874396754982953,0.979496312518634,0.9915990760465874,0.979496312518634,0.9915990760465874,0.314187688001839
all_poisson,restricted,average_in_degree,2.5,ODS,100,100,100,0,0.8139203029194371,0.09444241041873065,0.009444241041873065,0.7954095904773658,0.8324310153615083,0.7954095904773658,0.8324310153615083,1.118052058002504
all_poisson,restricted,average_in_degree,2.5,PC-RCIT,100,100,100,0,0.3619399221531739,0.1520293000124227,0.01520293000124227,0.33214217935073903,0.39173766495560874,0.33214217935073903,0.39173766495560874,22.342705096999126
all_poisson,restricted,average_in_degree,2.5,PB-SCM,100,100,100,0,0.49982178053780013,0.1683367608429368,0.016833676084293682,0.4668277754125845,0.5328157856630158,0.4668277754125845,0.5328157856630158,13.541145522998995
all_poisson,restricted,average_in_degree,2.5,PB-SCM-PGF,100,100,100,0,0.027545687645687638,0.061745873582058575,0.006174587358205858,0.015443496423604156,0.039647878867771116,0.015443496423604156,0.039647878867771116,0.5343001400009961
all_poisson,restricted,average_in_degree,3.0,Proposed DP-BIC,100,100,100,0,0.9662683954345576,0.04589181704806156,0.0045891817048061565,0.9572735992931375,0.9752631915759776,0.9572735992931375,0.9752631915759776,20.412064367998973
all_poisson,restricted,average_in_degree,3.0,Greedy-BIC,100,100,100,0,0.528016054139867,0.16134432935094078,0.01613443293509408,0.49639256558708256,0.5596395426926514,0.49639256558708256,0.5596395426926514,2.70075446199975
all_poisson,restricted,average_in_degree,3.0,Poisson-only DP,100,100,100,0,0.98288201077389,0.029284302491937513,0.0029284302491937512,0.9771422874854703,0.9886217340623098,0.9771422874854703,0.9886217340623098,0.31928349699970565
all_poisson,restricted,average_in_degree,3.0,ODS,100,100,100,0,0.7897013651224892,0.08698785149181539,0.00869878514918154,0.7726517462300934,0.8067509840148851,0.7726517462300934,0.8067509840148851,1.64041520400031
all_poisson,restricted,average_in_degree,3.0,PC-RCIT,100,100,100,0,0.2979040958375973,0.15817932418441769,0.015817932418441767,0.2669009482974514,0.3289072433777432,0.2669009482974514,0.3289072433777432,35.593409423001575
all_poisson,restricted,average_in_degree,3.0,PB-SCM,100,100,100,0,0.3358612510272323,0.2546134515262258,0.025461345152622578,0.285957014528092,0.3857654875263726,0.285957014528092,0.3857654875263726,9.185303641000065
