regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,sample_size,6400.0,8,6400,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9287980541197933,0.12888694527245637,0.012888694527245637,0.9035362128463919,0.9540598953931948
restricted,sample_size,6400.0,8,6400,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9780786223438398,0.03234655304750789,0.0032346553047507887,0.9717386979465282,0.9844185467411514
restricted,sample_size,6400.0,8,6400,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6099817680242838,0.1517198017345615,0.01517198017345615,0.5802446868843097,0.6397188491642579
restricted,sample_size,6400.0,8,6400,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5899232284967242,0.1932626305607383,0.01932626305607383,0.5520437529068195,0.6278027040866289
restricted,sample_size,6400.0,8,6400,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.11315412322430764,0.1572520377610728,0.01572520377610728,0.08233272382313737,0.14397552262547791
restricted,sample_size,6400.0,8,6400,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.00857142857142857,0.03968542558048776,0.003968542558048776,0.0007930851576529695,0.01634977198520417
restricted,sample_size,10000.0,8,10000,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9837929664538358,0.030688585010179827,0.0030688585010179826,0.9777780037918407,0.989807929115831
restricted,sample_size,10000.0,8,10000,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9243076619033141,0.13498199136337558,0.013498199136337558,0.8978511915960925,0.9507641322105358
restricted,sample_size,10000.0,8,10000,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9815894969764536,0.033849995620555226,0.0033849995620555224,0.9749548978348248,0.9882240961180824
restricted,sample_size,10000.0,8,10000,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6276680717125831,0.15589299763018505,0.015589299763018505,0.5971130441770668,0.6582230992480994
restricted,sample_size,10000.0,8,10000,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.6255836674729527,0.20294777629266827,0.020294777629266826,0.5858059033195897,0.6653614316263157
restricted,sample_size,10000.0,8,10000,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.13069172413488606,0.14671721786175443,0.014671721786175443,0.10193514943398219,0.15944829883578993
restricted,sample_size,10000.0,8,10000,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.02517857142857143,0.06992901950929997,0.006992901950929997,0.011472483604748635,0.03888465925239422
restricted,average_in_degree,1.0,8,3200,1.0,LibraryDP,directed_f1_recomputed,100,100,0.0,0.971262605042017,0.04681556770312061,0.0046815567703120614,0.9620867537722053,0.9804384563118287
restricted,average_in_degree,1.0,8,3200,1.0,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.961262605042017,0.0672159965041837,0.006721599650418369,0.948088269727197,0.974436940356837
restricted,average_in_degree,1.0,8,3200,1.0,OracleDP,directed_f1_recomputed,100,100,0.0,0.9689096638655462,0.05048430282074218,0.005048430282074218,0.9590147405126808,0.9788045872184117
restricted,average_in_degree,1.0,8,3200,1.0,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.49696943061948445,0.16623782372902815,0.016623782372902816,0.4643868171685949,0.5295520440703739
restricted,average_in_degree,1.0,8,3200,1.0,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.49388827838827837,0.25371301752072556,0.025371301752072556,0.44416052695421615,0.5436160298223406
restricted,average_in_degree,1.0,8,3200,1.0,PBSCM,directed_f1_recomputed,100,100,0.0,0.10137029637029638,0.1450266337458415,0.014502663374584149,0.07294507615611144,0.1297955165844813
restricted,average_in_degree,1.0,8,3200,1.0,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.005636363636363637,0.03224571743160407,0.003224571743160407,-0.0006837969802307607,0.011956524252958036
restricted,average_in_degree,1.5,8,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9730920885877409,0.04093817794341848,0.004093817794341848,0.9650682057108309,0.9811159714646509
restricted,average_in_degree,1.5,8,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9048773133045444,0.14960475186956848,0.014960475186956848,0.8755547819381089,0.9341998446709798
restricted,average_in_degree,1.5,8,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9686252690948344,0.04673039817121668,0.0046730398171216676,0.959466111053276,0.9777844271363928
restricted,average_in_degree,1.5,8,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5816032959862817,0.14303384155346077,0.014303384155346077,0.5535686630418034,0.60963792893076
restricted,average_in_degree,1.5,8,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5498319665706931,0.19256816647339572,0.019256816647339574,0.5120886059419075,0.5875753271994787
restricted,average_in_degree,1.5,8,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.10411865065730996,0.13338902476394265,0.013338902476394266,0.0779744018035772,0.13026289951104272
restricted,average_in_degree,1.5,8,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.022252747252747253,0.0614654877297198,0.00614654877297198,0.010205511657722174,0.03429998284777233
restricted,average_in_degree,2.0,8,3200,2.0,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9732679769248179,0.039101284505323686,0.003910128450532369,0.9656041251617745,0.9809318286878613
restricted,average_in_degree,2.0,8,3200,2.0,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8687077729463714,0.14894441929005053,0.014894441929005053,0.8395146667655214,0.8979008791272213
restricted,average_in_degree,2.0,8,3200,2.0,OracleDP,directed_f1_recomputed,100,100,0.0,0.9711616397190892,0.04226064488893506,0.004226064488893505,0.9628785533208579,0.9794447261173205
restricted,average_in_degree,2.0,8,3200,2.0,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.644418430084299,0.1284722028077557,0.01284722028077557,0.6192378783339789,0.6695989818346191
restricted,average_in_degree,2.0,8,3200,2.0,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.48148010503340094,0.16422928970338055,0.016422928970338056,0.44929116425153837,0.5136690458152635
restricted,average_in_degree,2.0,8,3200,2.0,PBSCM,directed_f1_recomputed,100,100,0.0,0.10455905627961969,0.1423354545797871,0.01423354545797871,0.07666130718198141,0.13245680537725796
restricted,average_in_degree,2.0,8,3200,2.0,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.015046783625730992,0.04987032501827009,0.0049870325018270085,0.005272199922150056,0.02482136732931193
