season,game_id,period,team_id,FOUL,FTA,FTM,SHOT_FOUL_DRAWN,PERS_FOUL_DRAWN,MISS_FT,LOOSE_BALL_FOUL_DRAWN
2016-17,21600027,1,1610612738,3,2,2,1,2,0,0
2016-17,21600027,1,1610612766,6,8,5,3,3,3,0
2016-17,21600027,2,1610612738,2,0,0,0,2,0,0
2016-17,21600027,2,1610612766,9,14,10,5,2,4,1
2016-17,21600027,3,1610612738,6,8,4,3,2,4,1
2016-17,21600027,3,1610612766,5,6,6,3,1,0,1
2016-17,21600027,4,1610612738,5,7,5,2,3,2,0
2016-17,21600027,4,1610612766,4,5,4,1,3,1,0
2016-17,21600028,1,1610612752,6,8,5,2,1,3,3
2016-17,21600028,1,1610612763,4,2,2,1,2,0,1
2016-17,21600028,2,1610612752,6,10,5,3,3,5,0
2016-17,21600028,2,1610612763,8,12,12,5,3,0,0
2016-17,21600028,3,1610612752,5,4,3,3,2,1,0
2016-17,21600028,3,1610612763,4,4,2,1,2,2,1
2016-17,21600028,4,1610612752,11,17,12,3,7,5,1
2016-17,21600028,4,1610612763,6,8,5,2,4,3,0
2016-17,21600029,1,1610612739,2,2,2,2,0,0,0
2016-17,21600029,1,1610612753,4,5,1,3,0,4,1
2016-17,21600029,2,1610612739,7,10,4,5,2,6,0
2016-17,21600029,2,1610612753,5,6,4,2,3,2,0
2016-17,21600029,3,1610612739,5,11,10,4,0,1,1
2016-17,21600029,3,1610612753,5,4,3,2,1,1,2
2016-17,21600029,4,1610612739,6,7,6,2,3,1,1
2016-17,21600029,4,1610612753,10,11,7,4,4,4,1
2016-17,21600030,1,1610612741,0,0,0,0,0,0,0
2016-17,21600030,1,1610612754,4,1,1,1,2,0,1
2016-17,21600030,2,1610612741,5,7,7,4,1,0,0
2016-17,21600030,2,1610612754,3,0,0,0,3,0,0
2016-17,21600030,3,1610612741,7,10,10,4,3,0,0
2016-17,21600030,3,1610612754,4,4,3,2,2,1,0
2016-17,21600030,4,1610612741,3,4,2,2,0,2,1
2016-17,21600030,4,1610612754,3,4,4,2,1,0,0
2016-17,21600031,1,1610612749,3,4,4,2,1,0,0
2016-17,21600031,1,1610612751,4,3,3,2,2,0,0
2016-17,21600031,2,1610612749,5,6,4,2,3,2,0
2016-17,21600031,2,1610612751,3,5,5,2,1,0,0
2016-17,21600031,3,1610612749,8,11,9,4,3,2,1
2016-17,21600031,3,1610612751,6,6,4,3,3,2,0
2016-17,21600031,4,1610612749,3,3,3,2,1,0,0
2016-17,21600031,4,1610612751,9,14,11,4,5,3,0
2016-17,21600032,1,1610612740,2,3,2,2,0,1,0
2016-17,21600032,1,1610612759,4,6,5,2,1,1,0
2016-17,21600032,2,1610612740,6,6,4,3,3,2,0
2016-17,21600032,2,1610612759,6,7,6,3,2,1,1
2016-17,21600032,3,1610612740,2,2,2,1,1,0,0
2016-17,21600032,3,1610612759,5,8,7,4,1,1,0
2016-17,21600032,4,1610612740,5,4,3,2,3,1,0
2016-17,21600032,4,1610612759,2,2,0,1,1,2,0
2016-17,21600033,1,1610612743,8,10,9,3,4,1,1
2016-17,21600033,1,1610612757,3,4,3,2,1,1,0
2016-17,21600033,2,1610612743,8,12,9,5,2,3,0
2016-17,21600033,2,1610612757,4,2,2,1,2,0,1
2016-17,21600033,3,1610612743,6,11,9,3,2,2,1
2016-17,21600033,3,1610612757,4,6,4,3,1,2,0
2016-17,21600033,4,1610612743,5,4,2,1,4,2,0
2016-17,21600033,4,1610612757,7,7,4,4,3,3,0
2016-17,21600034,1,1610612750,5,4,4,1,4,0,0
2016-17,21600034,1,1610612758,2,2,2,1,1,0,0
2016-17,21600034,2,1610612750,7,12,9,4,2,3,1
2016-17,21600034,2,1610612758,7,8,7,5,2,1,0
2016-17,21600034,3,1610612750,4,8,5,4,0,3,0
2016-17,21600034,3,1610612758,9,12,8,5,2,4,2
2016-17,21600034,4,1610612750,6,7,4,3,2,3,1
2016-17,21600034,4,1610612758,5,3,2,1,4,1,0
2016-17,21600035,1,1610612746,5,8,6,3,2,2,0
2016-17,21600035,1,1610612762,4,6,5,3,1,1,0
2016-17,21600035,2,1610612746,5,4,4,1,4,0,0
2016-17,21600035,2,1610612762,4,1,0,1,2,1,1
2016-17,21600035,3,1610612746,4,4,2,2,2,2,0
2016-17,21600035,3,1610612762,2,2,2,1,1,0,0
2016-17,21600035,4,1610612746,3,4,2,2,1,2,0
2016-17,21600035,4,1610612762,4,4,3,2,2,1,0
2016-17,21600036,1,1610612744,4,3,3,2,2,0,0
2016-17,21600036,1,1610612756,3,4,3,2,1,1,0
2016-17,21600036,2,1610612744,7,9,8,4,3,1,0
2016-17,21600036,2,1610612756,9,12,8,3,6,4,0
2016-17,21600036,3,1610612744,5,9,6,3,1,3,0
2016-17,21600036,3,1610612756,5,3,3,1,4,0,0
2016-17,21600036,4,1610612744,9,12,11,4,3,1,1
2016-17,21600036,4,1610612756,4,6,4,3,1,2,0
2016-17,21600037,1,1610612748,3,4,3,2,0,1,1
2016-17,21600037,1,1610612759,4,6,5,3,1,1,0
2016-17,21600037,2,1610612748,8,10,7,3,5,3,0
2016-17,21600037,2,1610612759,3,2,2,1,2,0,0
2016-17,21600037,3,1610612748,4,2,1,1,3,1,0
2016-17,21600037,3,1610612759,6,6,6,3,3,0,0
2016-17,21600037,4,1610612748,8,10,7,6,2,3,0
2016-17,21600037,4,1610612759,8,12,9,3,5,3,0
2016-17,21600038,1,1610612749,4,3,2,2,2,1,0
2016-17,21600038,1,1610612765,0,0,0,0,0,0,0
2016-17,21600038,2,1610612749,3,2,2,1,2,0,0
2016-17,21600038,2,1610612765,4,5,5,3,1,0,0
2016-17,21600038,3,1610612749,2,4,3,2,0,1,0
2016-17,21600038,3,1610612765,2,3,2,1,1,1,0
2016-17,21600038,4,1610612749,4,5,4,3,1,1,0
2016-17,21600038,4,1610612765,10,12,8,1,8,4,1
2016-17,21600039,1,1610612763,7,8,5,4,1,3,2
2016-17,21600039,1,1610612764,5,4,4,1,1,0,3
2016-17,21600039,2,1610612763,4,3,2,1,1,1,2
2016-17,21600039,2,1610612764,6,5,5,3,3,0,0
2016-17,21600039,3,1610612763,4,4,4,2,2,0,0
2016-17,21600039,3,1610612764,5,7,6,3,2,1,0
2016-17,21600039,4,1610612763,5,7,4,3,1,3,0
2016-17,21600039,4,1610612764,9,9,7,6,3,2,0
2016-17,21600040,1,1610612747,3,2,2,2,0,0,1
2016-17,21600040,1,1610612760,4,3,3,1,2,0,1
2016-17,21600040,2,1610612747,5,5,3,2,3,2,0
2016-17,21600040,2,1610612760,3,4,4,2,0,0,1
2016-17,21600040,3,1610612747,5,6,6,3,1,0,1
2016-17,21600040,3,1610612760,3,1,1,1,1,0,1
2016-17,21600040,4,1610612747,8,11,8,3,4,3,1
2016-17,21600040,4,1610612760,7,9,6,3,2,3,2
2016-17,21600041,1,1610612742,3,2,2,0,3,0,0
2016-17,21600041,1,1610612745,4,7,3,4,0,4,0
2016-17,21600041,2,1610612742,9,12,9,3,5,3,1
2016-17,21600041,2,1610612745,3,2,2,2,1,0,0
2016-17,21600041,3,1610612742,5,2,2,0,4,0,0
2016-17,21600041,3,1610612745,5,8,7,2,2,1,0
2016-17,21600041,4,1610612742,2,4,4,2,0,0,0
2016-17,21600041,4,1610612745,4,4,2,2,2,2,0
2016-17,21600042,1,1610612743,6,6,5,3,3,1,0
2016-17,21600042,1,1610612761,0,2,2,0,0,0,0
2016-17,21600042,2,1610612743,10,15,12,6,4,3,0
2016-17,21600042,2,1610612761,6,10,9,5,1,1,0
2016-17,21600042,3,1610612743,5,8,6,3,2,2,0
2016-17,21600042,3,1610612761,6,7,5,3,3,2,0
2016-17,21600042,4,1610612743,5,6,4,2,2,2,1
2016-17,21600042,4,1610612761,6,6,3,2,3,3,1
2016-17,21600043,1,1610612741,4,5,5,2,1,0,1
2016-17,21600043,1,1610612751,4,3,2,2,2,1,0
2016-17,21600043,2,1610612741,2,2,2,1,1,0,0
2016-17,21600043,2,1610612751,5,5,3,2,2,2,1
2016-17,21600043,3,1610612741,6,10,9,4,1,1,0
2016-17,21600043,3,1610612751,4,3,3,2,2,0,0
2016-17,21600043,4,1610612741,2,1,1,1,1,0,0
2016-17,21600043,4,1610612751,6,10,9,4,2,1,0
2016-17,21600044,1,1610612737,7,10,6,3,4,4,0
2016-17,21600044,1,1610612758,3,2,2,1,1,0,1
2016-17,21600044,2,1610612737,9,15,6,4,2,9,3
2016-17,21600044,2,1610612758,6,9,6,3,3,3,0
2016-17,21600044,3,1610612737,7,14,12,4,1,2,1
2016-17,21600044,3,1610612758,6,6,5,2,1,1,3
2016-17,21600044,4,1610612737,5,8,5,4,1,3,0
2016-17,21600044,4,1610612758,4,2,0,1,3,2,0
2016-17,21600045,1,1610612746,6,6,5,0,5,1,1
2016-17,21600045,1,1610612756,1,0,0,0,1,0,0
2016-17,21600045,2,1610612746,8,8,6,0,6,2,2
2016-17,21600045,2,1610612756,5,6,4,3,1,2,1
2016-17,21600045,3,1610612746,11,18,13,7,4,5,0
2016-17,21600045,3,1610612756,9,15,12,6,2,3,1
2016-17,21600045,4,1610612746,5,6,6,2,3,0,0
2016-17,21600045,4,1610612756,7,10,7,5,2,3,0
2016-17,21600046,1,1610612753,4,3,2,2,2,1,0
2016-17,21600046,1,1610612755,4,5,3,3,1,2,0
2016-17,21600046,2,1610612753,5,3,2,0,4,1,1
2016-17,21600046,2,1610612755,0,0,0,0,0,0,0
2016-17,21600046,3,1610612753,5,5,5,2,3,0,0
2016-17,21600046,3,1610612755,5,7,6,2,3,1,0
2016-17,21600046,4,1610612753,5,6,4,2,2,2,0
2016-17,21600046,4,1610612755,5,4,3,1,2,1,2
2016-17,21600047,1,1610612739,4,2,2,1,2,0,1
2016-17,21600047,1,1610612745,5,8,6,3,2,2,0
2016-17,21600047,2,1610612739,6,8,7,2,3,1,1
2016-17,21600047,2,1610612745,3,2,2,1,1,0,1
2016-17,21600047,3,1610612739,6,6,5,1,4,1,1
2016-17,21600047,3,1610612745,4,4,3,2,2,1,0
2016-17,21600047,4,1610612739,9,15,12,3,6,3,0
2016-17,21600047,4,1610612745,7,11,6,5,2,5,0
2016-17,21600048,1,1610612747,2,1,1,1,1,0,0
2016-17,21600048,1,1610612754,7,7,5,4,2,2,1
2016-17,21600048,2,1610612747,5,9,9,3,2,0,0
2016-17,21600048,2,1610612754,5,10,9,4,1,1,0
2016-17,21600048,3,1610612747,10,14,11,7,3,3,0
2016-17,21600048,3,1610612754,4,3,1,2,1,2,1
2016-17,21600048,4,1610612747,1,1,1,1,0,0,0
2016-17,21600048,4,1610612754,6,9,8,3,3,1,0
2016-17,21600049,1,1610612748,4,6,3,3,1,3,0
2016-17,21600049,1,1610612758,2,3,2,1,1,1,0
2016-17,21600049,2,1610612748,5,7,6,4,0,1,1
2016-17,21600049,2,1610612758,7,8,7,3,4,1,0
2016-17,21600049,3,1610612748,3,6,5,2,1,1,0
2016-17,21600049,3,1610612758,3,2,2,0,3,0,0
2016-17,21600049,4,1610612748,7,8,5,4,3,3,0
2016-17,21600049,4,1610612758,7,11,9,5,1,2,1
2016-17,21600050,1,1610612752,4,7,6,4,0,1,0
2016-17,21600050,1,1610612765,4,3,1,2,2,2,0
2016-17,21600050,2,1610612752,5,6,4,4,1,2,0
2016-17,21600050,2,1610612765,6,8,4,4,2,4,0
2016-17,21600050,3,1610612752,1,2,2,1,0,0,0
2016-17,21600050,3,1610612765,4,5,3,3,1,2,0
2016-17,21600050,4,1610612752,4,0,0,0,3,0,1
2016-17,21600050,4,1610612765,5,5,4,3,1,1,1
2016-17,21600051,1,1610612740,6,10,9,5,1,1,0
2016-17,21600051,1,1610612749,2,4,4,2,0,0,0
2016-17,21600051,2,1610612740,5,7,6,2,1,1,2
2016-17,21600051,2,1610612749,3,7,7,3,0,0,0
2016-17,21600051,3,1610612740,8,14,12,6,2,2,0
2016-17,21600051,3,1610612749,4,6,5,3,1,1,0
2016-17,21600051,4,1610612740,6,10,5,4,2,5,0
2016-17,21600051,4,1610612749,7,4,3,2,4,1,1
2016-17,21600052,1,1610612750,4,6,4,2,2,2,0
2016-17,21600052,1,1610612763,4,3,2,2,2,1,0
2016-17,21600052,2,1610612750,4,5,3,3,1,2,0
2016-17,21600052,2,1610612763,3,6,6,3,0,0,0
2016-17,21600052,3,1610612750,6,8,7,3,3,1,0
2016-17,21600052,3,1610612763,5,8,6,4,0,2,1
2016-17,21600052,4,1610612750,6,4,4,2,4,0,0
2016-17,21600052,4,1610612763,9,12,8,6,2,4,1
2016-17,21600053,1,1610612759,5,3,3,1,3,0,1
2016-17,21600053,1,1610612762,2,5,5,1,1,0,0
2016-17,21600053,2,1610612759,4,6,4,2,2,2,0
2016-17,21600053,2,1610612762,5,6,4,2,3,2,0
2016-17,21600053,3,1610612759,5,7,7,4,1,0,0
2016-17,21600053,3,1610612762,3,2,2,2,1,0,0
2016-17,21600053,4,1610612759,4,5,5,2,2,0,0
2016-17,21600053,4,1610612762,5,5,4,2,3,1,0
2016-17,21600054,1,1610612744,4,5,3,2,2,2,0
2016-17,21600054,1,1610612757,1,1,1,1,0,0,0
2016-17,21600054,2,1610612744,4,6,4,3,0,2,1
2016-17,21600054,2,1610612757,7,13,10,5,2,3,0
2016-17,21600054,3,1610612744,4,7,6,4,0,1,0
2016-17,21600054,3,1610612757,5,5,3,3,2,2,0
2016-17,21600054,4,1610612744,4,5,4,3,0,1,1
2016-17,21600054,4,1610612757,4,2,2,0,4,0,0
2016-17,21600055,1,1610612761,3,7,4,3,0,3,0
2016-17,21600055,1,1610612764,3,2,1,1,2,1,0
2016-17,21600055,2,1610612761,3,2,2,1,2,0,0
2016-17,21600055,2,1610612764,7,10,8,6,1,2,0
2016-17,21600055,3,1610612761,3,3,1,2,1,2,0
2016-17,21600055,3,1610612764,4,6,3,3,1,3,0
2016-17,21600055,4,1610612761,10,13,10,4,5,3,1
2016-17,21600055,4,1610612764,6,6,4,4,2,2,0
2016-17,21600056,1,1610612755,1,0,0,0,0,0,1
2016-17,21600056,1,1610612766,6,10,7,4,2,3,0
2016-17,21600056,2,1610612755,5,8,7,4,1,1,0
2016-17,21600056,2,1610612766,8,12,8,4,3,4,1
2016-17,21600056,3,1610612755,5,4,3,1,1,1,3
2016-17,21600056,3,1610612766,5,2,2,1,2,0,2
2016-17,21600056,4,1610612755,5,3,3,2,1,0,2
2016-17,21600056,4,1610612766,1,2,1,1,0,1,0
2016-17,21600057,1,1610612751,3,3,2,2,1,1,0
2016-17,21600057,1,1610612765,5,5,5,2,3,0,0
2016-17,21600057,2,1610612751,2,2,2,1,1,0,0
2016-17,21600057,2,1610612765,4,6,6,3,1,0,0
2016-17,21600057,3,1610612751,4,2,2,1,3,0,0
2016-17,21600057,3,1610612765,5,5,4,2,3,1,0
2016-17,21600057,4,1610612751,7,10,8,2,5,2,0
2016-17,21600057,4,1610612765,6,5,3,2,2,2,1
2016-17,21600058,1,1610612745,6,9,7,3,3,2,0
2016-17,21600058,1,1610612752,2,2,2,1,1,0,0
