season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2024-25,22400019,2,1610612744,3,2,2,2,0
2024-25,22400019,2,1610612763,3,1,1,2,0
2024-25,22400019,3,1610612744,6,12,8,0,0
2024-25,22400019,3,1610612763,11,19,16,5,0
2024-25,22400019,4,1610612744,6,9,6,3,0
2024-25,22400019,4,1610612763,5,9,7,1,0
2024-25,22400020,1,1610612750,4,3,3,2,0
2024-25,22400020,1,1610612758,3,2,2,2,0
2024-25,22400020,2,1610612750,4,7,5,1,0
2024-25,22400020,2,1610612758,2,2,2,1,0
2024-25,22400020,3,1610612750,2,0,0,2,0
2024-25,22400020,3,1610612758,7,9,8,2,0
2024-25,22400020,4,1610612750,6,6,6,1,1
2024-25,22400020,4,1610612758,5,7,6,1,0
2024-25,22400021,1,1610612738,2,1,1,1,0
2024-25,22400021,1,1610612739,4,4,4,2,0
2024-25,22400021,2,1610612738,4,2,2,3,0
2024-25,22400021,2,1610612739,2,2,2,1,0
2024-25,22400021,3,1610612738,4,4,3,2,0
2024-25,22400021,3,1610612739,2,3,3,0,0
2024-25,22400021,4,1610612738,5,7,4,3,0
2024-25,22400021,4,1610612739,7,8,6,3,1
2024-25,22400022,1,1610612751,2,1,0,2,0
2024-25,22400022,1,1610612766,5,4,3,4,0
2024-25,22400022,2,1610612751,6,7,6,1,2
2024-25,22400022,2,1610612766,1,3,3,0,0
2024-25,22400022,3,1610612751,4,8,5,1,0
2024-25,22400022,3,1610612766,9,11,10,1,3
2024-25,22400022,4,1610612751,4,3,3,2,0
2024-25,22400022,4,1610612766,2,4,3,0,0
2024-25,22400023,1,1610612743,6,7,6,1,1
2024-25,22400023,1,1610612763,3,4,4,1,0
2024-25,22400023,2,1610612743,7,8,4,3,0
2024-25,22400023,2,1610612763,7,6,3,2,0
2024-25,22400023,3,1610612743,4,3,2,1,1
2024-25,22400023,3,1610612763,7,10,5,0,3
2024-25,22400023,4,1610612743,6,4,2,3,2
2024-25,22400023,4,1610612763,7,11,7,1,2
2024-25,22400024,1,1610612740,4,5,5,1,0
2024-25,22400024,1,1610612742,4,5,4,2,0
2024-25,22400024,2,1610612740,4,7,6,1,0
2024-25,22400024,2,1610612742,4,3,2,1,1
2024-25,22400024,3,1610612740,4,5,4,1,0
2024-25,22400024,3,1610612742,4,4,3,1,1
2024-25,22400024,4,1610612740,3,4,3,0,0
2024-25,22400024,4,1610612742,8,13,11,1,0
2024-25,22400025,1,1610612759,3,2,1,1,0
2024-25,22400025,1,1610612760,1,0,0,1,0
2024-25,22400025,2,1610612759,7,8,6,2,2
2024-25,22400025,2,1610612760,4,4,4,0,2
2024-25,22400025,3,1610612759,6,7,5,3,0
2024-25,22400025,3,1610612760,2,2,1,1,0
2024-25,22400025,4,1610612759,2,2,1,1,0
2024-25,22400025,4,1610612760,4,1,1,3,0
2024-25,22400026,1,1610612747,3,2,2,2,0
2024-25,22400026,1,1610612762,5,6,5,2,1
2024-25,22400026,2,1610612747,4,7,4,0,0
2024-25,22400026,2,1610612762,5,6,4,2,0
2024-25,22400026,3,1610612747,7,11,9,1,0
2024-25,22400026,3,1610612762,2,2,2,0,0
2024-25,22400026,4,1610612747,9,16,11,6,0
2024-25,22400026,4,1610612762,3,5,5,0,0
2024-25,22400027,1,1610612751,4,0,0,4,0
2024-25,22400027,1,1610612755,5,5,4,2,1
2024-25,22400027,2,1610612751,4,2,2,3,0
2024-25,22400027,2,1610612755,6,9,7,0,1
2024-25,22400027,3,1610612751,3,5,5,0,1
2024-25,22400027,3,1610612755,4,4,3,2,0
2024-25,22400027,4,1610612751,2,0,0,2,0
2024-25,22400027,4,1610612755,2,2,1,1,0
2024-25,22400028,1,1610612738,5,5,3,3,0
2024-25,22400028,1,1610612764,4,4,3,3,0
2024-25,22400028,2,1610612738,7,5,3,5,1
2024-25,22400028,2,1610612764,3,4,3,0,1
2024-25,22400028,3,1610612738,7,12,10,1,1
2024-25,22400028,3,1610612764,4,4,2,2,1
2024-25,22400028,4,1610612738,7,10,9,7,0
2024-25,22400028,4,1610612764,5,4,3,4,0
2024-25,22400029,1,1610612749,3,6,6,0,0
2024-25,22400029,1,1610612754,5,7,6,1,0
2024-25,22400029,2,1610612749,4,6,2,1,1
2024-25,22400029,2,1610612754,2,4,2,0,0
2024-25,22400029,3,1610612749,5,7,7,1,0
2024-25,22400029,3,1610612754,4,6,5,1,0
2024-25,22400029,4,1610612749,4,1,1,3,0
2024-25,22400029,4,1610612754,6,10,7,3,0
2024-25,22400030,1,1610612737,3,3,2,1,0
2024-25,22400030,1,1610612741,3,2,2,2,0
2024-25,22400030,2,1610612737,2,2,1,1,0
2024-25,22400030,2,1610612741,5,8,7,1,1
2024-25,22400030,3,1610612737,4,4,4,2,0
2024-25,22400030,3,1610612741,3,5,5,0,0
2024-25,22400030,4,1610612737,6,10,7,1,1
2024-25,22400030,4,1610612741,5,6,5,2,1
2024-25,22400031,1,1610612745,7,8,5,2,0
2024-25,22400031,1,1610612757,2,4,2,0,0
2024-25,22400031,2,1610612745,6,9,8,2,0
2024-25,22400031,2,1610612757,6,6,5,3,0
2024-25,22400031,3,1610612745,5,6,3,1,2
2024-25,22400031,3,1610612757,8,10,9,2,0
2024-25,22400031,4,1610612745,2,2,1,1,0
2024-25,22400031,4,1610612757,2,2,1,0,1
2024-25,22400032,1,1610612740,4,4,4,2,0
2024-25,22400032,1,1610612744,3,0,0,3,0
2024-25,22400032,2,1610612740,4,6,5,1,0
2024-25,22400032,2,1610612744,4,5,4,1,0
2024-25,22400032,3,1610612740,7,7,4,4,0
2024-25,22400032,3,1610612744,6,9,8,2,0
2024-25,22400032,4,1610612740,4,5,1,1,1
2024-25,22400032,4,1610612744,10,15,10,5,2
2024-25,22400033,1,1610612742,0,0,0,0,0
2024-25,22400033,1,1610612743,6,8,6,2,0
2024-25,22400033,2,1610612742,9,10,7,1,2
2024-25,22400033,2,1610612743,4,4,4,2,0
2024-25,22400033,3,1610612742,1,2,1,0,0
2024-25,22400033,3,1610612743,6,9,5,1,0
2024-25,22400033,4,1610612742,9,15,13,4,1
2024-25,22400033,4,1610612743,5,8,4,3,0
2024-25,22400034,1,1610612746,4,7,7,0,0
2024-25,22400034,1,1610612758,4,4,3,1,1
2024-25,22400034,2,1610612746,3,5,5,1,0
2024-25,22400034,2,1610612758,5,7,4,1,0
2024-25,22400034,3,1610612746,2,1,1,1,0
2024-25,22400034,3,1610612758,5,8,6,1,0
2024-25,22400034,4,1610612746,3,3,3,2,0
2024-25,22400034,4,1610612758,5,5,4,2,0
2024-25,22400035,1,1610612741,2,2,2,1,0
2024-25,22400035,1,1610612764,4,5,2,1,0
