regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,sample_size,800.0,8,800,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0138914027149321,0.0495849768814923,0.0049584976881492,0.0041727472461596,0.0236100581837046
restricted,sample_size,1600.0,8,1600,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9509720348301584,0.0605661172452863,0.0060566117245286,0.9391010758500822,0.9628429938102344
restricted,sample_size,1600.0,8,1600,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8857472049689441,0.1287851112259899,0.0128785111225989,0.86050532316865,0.9109890867692382
restricted,sample_size,1600.0,8,1600,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9460820668271468,0.0646108014605545,0.0064610801460554,0.9334183497408782,0.9587457839134156
restricted,sample_size,1600.0,8,1600,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.58220405192752,0.1390989345757508,0.013909893457575,0.5549406607506728,0.6094674431043672
restricted,sample_size,1600.0,8,1600,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.4903378812450019,0.189633485412473,0.0189633485412473,0.4531697181041572,0.5275060443858466
restricted,sample_size,1600.0,8,1600,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.0696538202864424,0.126044914215045,0.0126044914215044,0.0449490171002936,0.0943586234725912
restricted,sample_size,1600.0,8,1600,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0126666666666666,0.0491071942367128,0.0049107194236712,0.0030416565962709,0.0222916767370623
restricted,sample_size,3200.0,8,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9730920885877408,0.0409381779434184,0.0040938177943418,0.9650682057108309,0.9811159714646508
restricted,sample_size,3200.0,8,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9048773133045444,0.1496047518695684,0.0149604751869568,0.8755547819381089,0.9341998446709798
restricted,sample_size,3200.0,8,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9686252690948344,0.0467303981712166,0.0046730398171216,0.959466111053276,0.9777844271363928
restricted,sample_size,3200.0,8,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5816032959862817,0.1430338415534607,0.014303384155346,0.5535686630418034,0.60963792893076
restricted,sample_size,3200.0,8,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5498319665706931,0.1925681664733957,0.0192568166473395,0.5120886059419075,0.5875753271994787
restricted,sample_size,3200.0,8,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1041186506573099,0.1333890247639426,0.0133389024763942,0.0779744018035772,0.1302628995110427
restricted,sample_size,3200.0,8,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0222527472527472,0.0614654877297198,0.0061465487729719,0.0102055116577221,0.0342999828477723
restricted,sample_size,6400.0,8,6400,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9810191040843216,0.0309602797080765,0.0030960279708076,0.9749508892615384,0.9870873189071044
restricted,sample_size,6400.0,8,6400,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9287980541197932,0.1288869452724563,0.0128886945272456,0.903536212846392,0.9540598953931948
restricted,sample_size,6400.0,8,6400,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9780786223438398,0.0323465530475078,0.0032346553047507,0.9717386979465282,0.9844185467411514
restricted,sample_size,6400.0,8,6400,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6099817680242838,0.1517198017345615,0.0151719801734561,0.5802446868843097,0.6397188491642579
restricted,sample_size,6400.0,8,6400,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5899232284967242,0.1932626305607383,0.0193262630560738,0.5520437529068195,0.6278027040866289
restricted,sample_size,6400.0,8,6400,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1131541232243076,0.1572520377610728,0.0157252037761072,0.0823327238231373,0.1439755226254779
restricted,sample_size,6400.0,8,6400,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0085714285714285,0.0396854255804877,0.0039685425580487,0.0007930851576529,0.0163497719852041
restricted,sample_size,10000.0,8,10000,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9837929664538358,0.0306885850101798,0.0030688585010179,0.9777780037918408,0.989807929115831
restricted,sample_size,10000.0,8,10000,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.924307661903314,0.1349819913633755,0.0134981991363375,0.8978511915960925,0.9507641322105358
restricted,sample_size,10000.0,8,10000,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9815894969764536,0.0338499956205552,0.0033849995620555,0.9749548978348248,0.9882240961180824
restricted,sample_size,10000.0,8,10000,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6276680717125831,0.155892997630185,0.0155892997630185,0.5971130441770668,0.6582230992480994
restricted,sample_size,10000.0,8,10000,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.6255836674729527,0.2029477762926682,0.0202947776292668,0.5858059033195897,0.6653614316263157
restricted,sample_size,10000.0,8,10000,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.130691724134886,0.1467172178617544,0.0146717217861754,0.1019351494339821,0.1594482988357899
restricted,sample_size,10000.0,8,10000,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0251785714285714,0.0699290195092999,0.0069929019509299,0.0114724836047486,0.0388846592523942
restricted,average_in_degree,1.0,8,3200,1.0,LibraryDP,directed_f1_recomputed,100,100,0.0,0.971262605042017,0.0468155677031206,0.004681556770312,0.9620867537722052,0.9804384563118288
restricted,average_in_degree,1.0,8,3200,1.0,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.961262605042017,0.0672159965041837,0.0067215996504183,0.948088269727197,0.974436940356837
restricted,average_in_degree,1.0,8,3200,1.0,OracleDP,directed_f1_recomputed,100,100,0.0,0.9689096638655462,0.0504843028207421,0.0050484302820742,0.9590147405126808,0.9788045872184116
restricted,average_in_degree,1.0,8,3200,1.0,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.4969694306194844,0.1662378237290281,0.0166237823729028,0.4643868171685949,0.5295520440703739
restricted,average_in_degree,1.0,8,3200,1.0,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.4938882783882783,0.2537130175207255,0.0253713017520725,0.4441605269542161,0.5436160298223406
restricted,average_in_degree,1.0,8,3200,1.0,PBSCM,directed_f1_recomputed,100,100,0.0,0.1013702963702963,0.1450266337458415,0.0145026633745841,0.0729450761561114,0.1297955165844813
restricted,average_in_degree,1.0,8,3200,1.0,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0056363636363636,0.032245717431604,0.0032245717431604,-0.0006837969802307,0.011956524252958
restricted,average_in_degree,1.5,8,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9730920885877408,0.0409381779434184,0.0040938177943418,0.9650682057108309,0.9811159714646508
restricted,average_in_degree,1.5,8,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9048773133045444,0.1496047518695684,0.0149604751869568,0.8755547819381089,0.9341998446709798
restricted,average_in_degree,1.5,8,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9686252690948344,0.0467303981712166,0.0046730398171216,0.959466111053276,0.9777844271363928
restricted,average_in_degree,1.5,8,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5816032959862817,0.1430338415534607,0.014303384155346,0.5535686630418034,0.60963792893076
restricted,average_in_degree,1.5,8,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5498319665706931,0.1925681664733957,0.0192568166473395,0.5120886059419075,0.5875753271994787
restricted,average_in_degree,1.5,8,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1041186506573099,0.1333890247639426,0.0133389024763942,0.0779744018035772,0.1302628995110427
restricted,average_in_degree,1.5,8,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0222527472527472,0.0614654877297198,0.0061465487729719,0.0102055116577221,0.0342999828477723
restricted,average_in_degree,2.0,8,3200,2.0,LibraryDP,directed_f1_recomputed,100,100,0.0,0.973267976924818,0.0391012845053236,0.0039101284505323,0.9656041251617744,0.9809318286878612
restricted,average_in_degree,2.0,8,3200,2.0,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8687077729463714,0.1489444192900505,0.014894441929005,0.8395146667655214,0.8979008791272213
restricted,average_in_degree,2.0,8,3200,2.0,OracleDP,directed_f1_recomputed,100,100,0.0,0.9711616397190892,0.042260644888935,0.0042260644888935,0.962878553320858,0.9794447261173204
