alpha_regime,sweep,anchor_d,anchor_N,kbar_in,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated,N
common,d,10,3200,1.5,10.0,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9622177095852668,0.0045725178424398,0.9648535639270034,0.0042142904311656,0.49,0.0502418393795691,1.0,0.0,0.0360344757575213,0.0024626117246829,49,0.040811676965905,0.0022862044607309,100,6.415680314509441,0.2809568763875098,0.0674664017028103,0.005432514258483,14.41,22.2755627000003,1.5937852813845506,22.271800469000446,1.5937834114626417,0.003762230999855,3.733762878824573e-05,3820.0,
common,d,10,3200,1.5,10.0,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.1146479434472737,0.0132802910877351,0.4105152730971179,0.0282387415848163,0.0,0.0,,,,,0,,,0,,,,,1.33,8.225220178001328,0.8063623219140876,,,,,,
common,d,10,3200,1.5,10.0,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0155968352253181,0.0049650888650881,0.0760823168321485,0.009769108792118,0.0,0.0,,,,,0,,,0,,,,,0.14,1.1256082120000792,0.0075556457860106,,,,,,
common,d,10,3200,1.5,10.0,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.509356467032621,0.0177921211734752,0.8951266058057662,0.0062374604079235,0.0,0.0,,,,,0,,,0,,,,,6.21,13.36407068399916,0.5013704214007771,,,,,,
common,d,10,3200,1.5,10.0,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5481502491245756,0.0126432983497189,0.7931694177767622,0.0064897067016498,0.0,0.0,,,,,0,,,0,,,,,9.43,1.2572309790000145,0.0732428651584922,,,,,,
expanded,d,4,3200,1.5,4.0,LibraryDP,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.9819696969696968,0.005438260047411,0.989090909090909,0.0029690784761008,0.87,0.0337997668989631,0.86,0.0178800718593905,0.0575225107112465,0.0060973568315659,87,0.0833728324173934,0.0142442744017379,100,6.791161454723524,1.0335225593606994,0.0940088897963257,0.014699068026142,5.84,0.85951958199832,0.0359296988656465,0.8594574369999464,0.0359295404726134,6.214499837369657e-05,1.7254893945294488e-06,32.0,
expanded,d,4,3200,1.5,4.0,LibraryGreedy,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.8498888888888889,0.0203090618659778,0.9427878787878786,0.0080279815992988,0.56,0.0498887651569858,0.7325,0.0280365472160531,0.0628150625794688,0.008957945037996,56,0.3007078881111758,0.0460310254106243,100,23.073116682862278,3.5590326511311035,0.4001172544597045,0.0484896943537164,4.92,0.5291364169993904,0.0234471969559419,0.5285332869997365,0.0234419999018597,0.0006031299996539,1.223712310866398e-05,24.75,
expanded,d,4,3200,1.5,4.0,OracleDP,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.990151515151515,0.0030560203488063,0.9918181818181818,0.0026147590114969,0.9,0.0301511344577763,1.0,0.0,0.0565163724780136,0.005932169411202,90,0.0618389888774502,0.0059527373198364,100,5.047028696648206,0.3830855261713418,0.0734060174257306,0.0082377526598779,5.9,0.2185022440004104,0.0257144037006718,0.2184467090002727,0.0257142988379079,5.553500013775192e-05,1.49044259700056e-06,32.0,
expanded,d,4,3200,1.5,4.0,PC-RCIT,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.0885555555555555,0.0183714394985948,0.941030303030303,0.0071714481512936,0.0,0.0,,,,,0,,,0,,,,,0.4,0.7451121869999042,0.0087949112776992,,,,,,
expanded,d,4,3200,1.5,4.0,PoissonDAG-ODS,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.8437878787878788,0.0179054796009051,0.9503030303030304,0.007133656555213,0.42,0.0496044963748858,,,,,0,,,0,,,,,4.89,1.3285076269994898,0.1443572631124018,,,,,,
expanded,d,5,3200,1.5,5.0,LibraryDP,0.2,2.0,5,1.5,exact_edges,1.5999999999999996,4.463264492478967e-17,12,100,0.956505925447102,0.0108588286243606,0.9800890971773324,0.0046617751910748,0.77,0.042295258468165,0.83,0.0195659981301308,0.0586034059352662,0.0050223788969673,77,0.1846532451804105,0.0485949147165114,100,13.75472487533914,3.692723158872215,0.1929766091704902,0.0385639120336202,7.57,2.522688223999576,0.0864445917789354,2.5225807979993986,0.0864446037619018,0.0001074260001769,3.1410397313895745e-06,80.0,
expanded,d,5,3200,1.5,5.0,LibraryGreedy,0.2,2.0,5,1.5,exact_edges,1.5999999999999996,4.463264492478967e-17,12,100,0.794118131868132,0.0228734391090555,0.9073031135531135,0.0109471377708693,0.4,0.0492365963917331,0.698,0.0267415614935087,0.0671111839119269,0.0085318221921382,40,0.4255112612157799,0.0526462953911482,100,27.990612277098272,3.640734279008927,0.5173862502988409,0.04816980159825,6.11,0.9273057910002536,0.0392399001778456,0.9258732769970084,0.0392292222813764,0.0014325140032451,3.240516628271722e-05,43.89,
expanded,d,5,3200,1.5,5.0,OracleDP,0.2,2.0,5,1.5,exact_edges,1.5999999999999996,4.463264492478967e-17,12,100,0.9841113445378152,0.0034637912949975,0.9853613445378152,0.0032870979833315,0.8,0.0402015126103684,1.0,0.0,0.0584688422573351,0.004877119950554,80,0.0652224946429303,0.0045587217564927,100,5.220753538348873,0.2774330299927501,0.0857158725077759,0.0089252458454859,7.81,0.5165547070007597,0.0607210620276471,0.5164637420004874,0.0607211110278069,9.096500027226284e-05,1.9828360906447667e-06,80.0,
expanded,d,5,3200,1.5,5.0,PC-RCIT,0.2,2.0,5,1.5,exact_edges,1.5999999999999996,4.463264492478967e-17,12,100,0.3596396936396936,0.0318944267878937,0.9054725274725276,0.0077366500896921,0.02,0.0140705294136289,,,,,0,,,0,,,,,2.41,2.629452366000041,0.0773278395629396,,,,,,
