alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated
common,kbar,2.0,8,3200,8,PoissonDAG-ODS,0.15,0.85,5,2.0,exact_edges,2.0,0.0,12,100,0.644418430084299,0.0128472202807755,0.8412921223649924,0.0070538243621619,0.0,0.0,,,,,0,,,0,,,,,10.66,1.518293850000482,0.093535488815174,,,,,
common,kbar,2.5,8,3200,8,LibraryDP,0.15,0.85,5,2.5,exact_edges,2.5,0.0,12,100,0.914927397311034,0.009511552492368,0.9401752634221864,0.0063728004573704,0.3,0.0460566186471838,0.8025,0.0147773885419992,0.0454107663857385,0.0030239115979761,30,0.1012985592909579,0.0087797600328108,100,14.315130327621237,1.2715952735850689,0.1567572428478246,0.0119245290161449,17.86,31.415160589000152,0.9795724323337094,31.41436374000012,0.979571400834236,0.0007968490000348,1.4252352612973647e-05,960.0
common,kbar,2.5,8,3200,8,LibraryGreedy,0.15,0.85,5,2.5,exact_edges,2.5,0.0,12,100,0.7450149366424001,0.0165128903158483,0.8831651506953554,0.0070350771050464,0.09,0.0287623491264661,0.6325,0.0199288507172162,0.0407435575923697,0.0043335263023786,9,0.2187790972104691,0.0182982245080074,100,30.060741004186053,2.4214269581957275,0.3039396149679156,0.0160108926531152,14.06,2.646187238999409,0.0903263105637523,2.636104104011174,0.0902231129371516,0.0100831349882355,0.0002092465241833,160.29
common,kbar,2.5,8,3200,8,OracleDP,0.15,0.85,5,2.5,exact_edges,2.5,0.0,12,100,0.9609871253273052,0.0053080123114807,0.9661166799831756,0.0047224823960176,0.44,0.0498887651569858,1.0,0.0,0.0404621102954291,0.0024330768100791,44,0.0629517223779569,0.0046972901007618,100,9.136441145536864,0.5174510417138284,0.0980574006656577,0.0085032557275826,18.84,8.674380000000966,0.7477869011672817,8.67363456700041,0.7477868462708057,0.0007454330005566,9.94190262096412e-06,960.0
common,kbar,2.5,8,3200,8,PBSCM,0.15,0.85,5,2.5,exact_edges,2.5,0.0,12,100,0.103272627813806,0.0154753825382568,0.249010721178863,0.0282908809271147,0.0,0.0,,,,,0,,,0,,,,,1.48,4.598100728000281,0.7425696933463144,,,,,
common,kbar,2.5,8,3200,8,PBSCM_PGF,0.15,0.85,5,2.5,exact_edges,2.5,0.0,12,100,0.0242033690946734,0.0054737387411478,0.0794795060012451,0.0085368609405537,0.0,0.0,,,,,0,,,0,,,,,0.27,0.6116915439993318,0.0044957788942912,,,,,
common,kbar,2.5,8,3200,8,PC-RCIT,0.15,0.85,5,2.5,exact_edges,2.5,0.0,12,100,0.4196114909260002,0.0150480565980441,0.7873113514956025,0.0070207460590511,0.0,0.0,,,,,0,,,0,,,,,6.65,24.03040126599997,0.914653568561147,,,,,
common,kbar,2.5,8,3200,8,PoissonDAG-ODS,0.15,0.85,5,2.5,exact_edges,2.5,0.0,12,100,0.6871750189609973,0.0115797904657292,0.8495152318410688,0.0067284334295688,0.0,0.0,,,,,0,,,0,,,,,13.35,2.394021421999059,0.165866969628478,,,,,
common,kbar,3.0,8,3200,8,LibraryDP,0.15,0.85,5,3.0,exact_edges,3.0,0.0,12,100,0.8469788842458889,0.0140546696371523,0.9086528799782624,0.0074686266386313,0.1,0.0301511344577763,0.6975,0.0173332604893574,0.0437272861008555,0.0075525721334715,10,0.1802613708201365,0.0154758090027136,100,25.13077052433774,2.043984865101938,0.2400151482289912,0.014973836322028,19.4,34.955151332000824,0.994662482045751,34.95433975700129,0.9946606320574214,0.000811574999534,1.672003548546496e-05,960.0
common,kbar,3.0,8,3200,8,LibraryGreedy,0.15,0.85,5,3.0,exact_edges,3.0,0.0,12,100,0.6223295446039602,0.0184003505849811,0.8437365033095671,0.0077086557434232,0.01,0.0099999999999999,0.48875,0.0208026288888416,0.0680084191871066,,1,0.3932914886903484,0.0292742310168962,100,50.99704887092609,3.67187395971984,0.4286729663456006,0.0172343665745054,13.58,3.2895478909999656,0.1159814987860549,3.278579901004123,0.1158652332172749,0.0109679899958428,0.0002362985155877,164.66
common,kbar,3.0,8,3200,8,OracleDP,0.15,0.85,5,3.0,exact_edges,3.0,0.0,12,100,0.9532198437052146,0.0056749416046274,0.9641776858466992,0.0040809511694474,0.37,0.0485236587093909,1.0,0.0,0.0439493072901464,0.0029008758081808,37,0.0757134332641115,0.006976167242044,100,10.80334210003982,0.7555889964903174,0.1152496409135255,0.0093763042171178,22.3,9.239822809999604,0.7891221861321407,9.239035781998972,0.7891184096682122,0.0007870280006318,1.673306664589168e-05,960.0
common,kbar,3.0,8,3200,8,PBSCM,0.15,0.85,5,3.0,exact_edges,3.0,0.0,12,100,0.0854224880923552,0.0155242597597898,0.1570112802168419,0.024299280050045,0.0,0.0,,,,,0,,,0,,,,,1.41,4.355257201000204,0.9699698846883976,,,,,
common,kbar,3.0,8,3200,8,PBSCM_PGF,0.15,0.85,5,3.0,exact_edges,3.0,0.0,12,100,0.01542157364738,0.0047113845503595,0.082873691520855,0.0080823316734618,0.0,0.0,,,,,0,,,0,,,,,0.21,0.6211785269991378,0.0065315889811249,,,,,
common,kbar,3.0,8,3200,8,PC-RCIT,0.15,0.85,5,3.0,exact_edges,3.0,0.0,12,100,0.320618759210412,0.0154936454107902,0.7445487108285218,0.0061485996193537,0.0,0.0,,,,,0,,,0,,,,,5.93,34.70541291499976,1.1212325054865402,,,,,
common,kbar,3.0,8,3200,8,PoissonDAG-ODS,0.15,0.85,5,3.0,exact_edges,3.0,0.0,12,100,0.6927169482360037,0.010102165022425,0.8429337213056818,0.0062597750960415,0.0,0.0,,,,,0,,,0,,,,,15.35,3.421389119999658,0.2196335177243568,,,,,
