alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,true_family,selected_family,count,row_rate
common,kbar,1.0,8,3200,8,OracleDP,Bernoulli,Bernoulli,139,1.0
common,kbar,1.5,8,3200,8,LibraryDP,Poisson,Poisson,118,0.9915966386554622
common,kbar,1.5,8,3200,8,LibraryDP,Poisson,NB,1,0.0084033613445378
common,kbar,1.5,8,3200,8,LibraryDP,Poisson,ZIP,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Poisson,Geom,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Poisson,Binomial,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Poisson,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,NB,Poisson,5,0.0337837837837837
common,kbar,1.5,8,3200,8,LibraryDP,NB,NB,140,0.945945945945946
common,kbar,1.5,8,3200,8,LibraryDP,NB,ZIP,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,NB,Geom,3,0.0202702702702702
common,kbar,1.5,8,3200,8,LibraryDP,NB,Binomial,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,NB,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,ZIP,Poisson,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,ZIP,NB,2,0.0161290322580645
common,kbar,1.5,8,3200,8,LibraryDP,ZIP,ZIP,120,0.967741935483871
common,kbar,1.5,8,3200,8,LibraryDP,ZIP,Geom,2,0.0161290322580645
common,kbar,1.5,8,3200,8,LibraryDP,ZIP,Binomial,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,ZIP,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Geom,Poisson,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Geom,NB,25,0.1712328767123287
common,kbar,1.5,8,3200,8,LibraryDP,Geom,ZIP,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Geom,Geom,121,0.8287671232876712
