alpha_regime,sweep,N,anchor_d,anchor_N,kbar_in,d,method,true_family,selected_family,count,row_rate
common,N,200.0,8,200,1.5,8,LibraryGreedy,Binomial,Geom,2,0.0161290322580645
common,N,200.0,8,200,1.5,8,LibraryGreedy,Binomial,Binomial,85,0.6854838709677419
common,N,200.0,8,200,1.5,8,LibraryGreedy,Binomial,Bernoulli,3,0.0241935483870967
common,N,200.0,8,200,1.5,8,LibraryGreedy,Bernoulli,Poisson,29,0.2086330935251798
common,N,200.0,8,200,1.5,8,LibraryGreedy,Bernoulli,NB,8,0.0575539568345323
common,N,200.0,8,200,1.5,8,LibraryGreedy,Bernoulli,ZIP,1,0.0071942446043165
common,N,200.0,8,200,1.5,8,LibraryGreedy,Bernoulli,Geom,12,0.0863309352517985
common,N,200.0,8,200,1.5,8,LibraryGreedy,Bernoulli,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,LibraryGreedy,Bernoulli,Bernoulli,89,0.6402877697841727
common,N,200.0,8,200,1.5,8,OracleDP,Poisson,Poisson,119,1.0
common,N,200.0,8,200,1.5,8,OracleDP,Poisson,NB,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Poisson,ZIP,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Poisson,Geom,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Poisson,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Poisson,Bernoulli,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,NB,Poisson,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,NB,NB,148,1.0
common,N,200.0,8,200,1.5,8,OracleDP,NB,ZIP,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,NB,Geom,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,NB,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,NB,Bernoulli,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,ZIP,Poisson,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,ZIP,NB,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,ZIP,ZIP,124,1.0
common,N,200.0,8,200,1.5,8,OracleDP,ZIP,Geom,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,ZIP,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,ZIP,Bernoulli,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Geom,Poisson,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Geom,NB,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Geom,ZIP,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Geom,Geom,146,1.0
common,N,200.0,8,200,1.5,8,OracleDP,Geom,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Geom,Bernoulli,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Binomial,Poisson,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Binomial,NB,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Binomial,ZIP,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Binomial,Geom,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Binomial,Binomial,124,1.0
common,N,200.0,8,200,1.5,8,OracleDP,Binomial,Bernoulli,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Bernoulli,Poisson,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Bernoulli,NB,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Bernoulli,ZIP,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Bernoulli,Geom,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Bernoulli,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,OracleDP,Bernoulli,Bernoulli,139,1.0
common,N,400.0,8,400,1.5,8,LibraryDP,Poisson,Poisson,114,0.957983193277311
common,N,400.0,8,400,1.5,8,LibraryDP,Poisson,NB,1,0.0084033613445378
common,N,400.0,8,400,1.5,8,LibraryDP,Poisson,ZIP,1,0.0084033613445378
common,N,400.0,8,400,1.5,8,LibraryDP,Poisson,Geom,1,0.0084033613445378
common,N,400.0,8,400,1.5,8,LibraryDP,Poisson,Binomial,2,0.0168067226890756
common,N,400.0,8,400,1.5,8,LibraryDP,Poisson,Bernoulli,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,NB,Poisson,27,0.1824324324324324
common,N,400.0,8,400,1.5,8,LibraryDP,NB,NB,105,0.7094594594594594
common,N,400.0,8,400,1.5,8,LibraryDP,NB,ZIP,2,0.0135135135135135
common,N,400.0,8,400,1.5,8,LibraryDP,NB,Geom,13,0.0878378378378378
common,N,400.0,8,400,1.5,8,LibraryDP,NB,Binomial,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,NB,Bernoulli,1,0.0067567567567567
common,N,400.0,8,400,1.5,8,LibraryDP,ZIP,Poisson,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,ZIP,NB,5,0.0403225806451612
common,N,400.0,8,400,1.5,8,LibraryDP,ZIP,ZIP,106,0.8548387096774194
common,N,400.0,8,400,1.5,8,LibraryDP,ZIP,Geom,12,0.0967741935483871
common,N,400.0,8,400,1.5,8,LibraryDP,ZIP,Binomial,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,ZIP,Bernoulli,1,0.0080645161290322
common,N,400.0,8,400,1.5,8,LibraryDP,Geom,Poisson,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,Geom,NB,33,0.2260273972602739
common,N,400.0,8,400,1.5,8,LibraryDP,Geom,ZIP,1,0.0068493150684931
common,N,400.0,8,400,1.5,8,LibraryDP,Geom,Geom,112,0.7671232876712328
common,N,400.0,8,400,1.5,8,LibraryDP,Geom,Binomial,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,Geom,Bernoulli,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,Binomial,Poisson,22,0.1774193548387097
common,N,400.0,8,400,1.5,8,LibraryDP,Binomial,NB,1,0.0080645161290322
common,N,400.0,8,400,1.5,8,LibraryDP,Binomial,ZIP,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,Binomial,Geom,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,Binomial,Binomial,98,0.7903225806451613
common,N,400.0,8,400,1.5,8,LibraryDP,Binomial,Bernoulli,3,0.0241935483870967
common,N,400.0,8,400,1.5,8,LibraryDP,Bernoulli,Poisson,24,0.1726618705035971
common,N,400.0,8,400,1.5,8,LibraryDP,Bernoulli,NB,1,0.0071942446043165
common,N,400.0,8,400,1.5,8,LibraryDP,Bernoulli,ZIP,0,0.0
common,N,400.0,8,400,1.5,8,LibraryDP,Bernoulli,Geom,13,0.0935251798561151
common,N,400.0,8,400,1.5,8,LibraryDP,Bernoulli,Binomial,1,0.0071942446043165
common,N,400.0,8,400,1.5,8,LibraryDP,Bernoulli,Bernoulli,100,0.7194244604316546
common,N,400.0,8,400,1.5,8,LibraryGreedy,Poisson,Poisson,103,0.865546218487395
common,N,400.0,8,400,1.5,8,LibraryGreedy,Poisson,NB,7,0.0588235294117647
common,N,400.0,8,400,1.5,8,LibraryGreedy,Poisson,ZIP,1,0.0084033613445378
common,N,400.0,8,400,1.5,8,LibraryGreedy,Poisson,Geom,1,0.0084033613445378
common,N,400.0,8,400,1.5,8,LibraryGreedy,Poisson,Binomial,7,0.0588235294117647
common,N,400.0,8,400,1.5,8,LibraryGreedy,Poisson,Bernoulli,0,0.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,NB,Poisson,26,0.1756756756756756
common,N,400.0,8,400,1.5,8,LibraryGreedy,NB,NB,98,0.6621621621621622
common,N,400.0,8,400,1.5,8,LibraryGreedy,NB,ZIP,6,0.0405405405405405
common,N,400.0,8,400,1.5,8,LibraryGreedy,NB,Geom,15,0.1013513513513513
common,N,400.0,8,400,1.5,8,LibraryGreedy,NB,Binomial,0,0.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,NB,Bernoulli,3,0.0202702702702702
common,N,400.0,8,400,1.5,8,LibraryGreedy,ZIP,Poisson,2,0.0161290322580645
common,N,400.0,8,400,1.5,8,LibraryGreedy,ZIP,NB,11,0.0887096774193548
common,N,400.0,8,400,1.5,8,LibraryGreedy,ZIP,ZIP,97,0.782258064516129
common,N,400.0,8,400,1.5,8,LibraryGreedy,ZIP,Geom,13,0.1048387096774193
common,N,400.0,8,400,1.5,8,LibraryGreedy,ZIP,Binomial,0,0.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,ZIP,Bernoulli,1,0.0080645161290322
common,N,400.0,8,400,1.5,8,LibraryGreedy,Geom,Poisson,0,0.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,Geom,NB,39,0.2671232876712329
common,N,400.0,8,400,1.5,8,LibraryGreedy,Geom,ZIP,1,0.0068493150684931
common,N,400.0,8,400,1.5,8,LibraryGreedy,Geom,Geom,106,0.726027397260274
common,N,400.0,8,400,1.5,8,LibraryGreedy,Geom,Binomial,0,0.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,Geom,Bernoulli,0,0.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,Binomial,Poisson,25,0.2016129032258064
common,N,400.0,8,400,1.5,8,LibraryGreedy,Binomial,NB,2,0.0161290322580645
common,N,400.0,8,400,1.5,8,LibraryGreedy,Binomial,ZIP,0,0.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,Binomial,Geom,0,0.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,Binomial,Binomial,93,0.75
common,N,400.0,8,400,1.5,8,LibraryGreedy,Binomial,Bernoulli,4,0.032258064516129
common,N,400.0,8,400,1.5,8,LibraryGreedy,Bernoulli,Poisson,22,0.158273381294964
common,N,400.0,8,400,1.5,8,LibraryGreedy,Bernoulli,NB,9,0.0647482014388489
common,N,400.0,8,400,1.5,8,LibraryGreedy,Bernoulli,ZIP,0,0.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,Bernoulli,Geom,13,0.0935251798561151
common,N,400.0,8,400,1.5,8,LibraryGreedy,Bernoulli,Binomial,1,0.0071942446043165
common,N,400.0,8,400,1.5,8,LibraryGreedy,Bernoulli,Bernoulli,94,0.6762589928057554
common,N,400.0,8,400,1.5,8,OracleDP,Poisson,Poisson,119,1.0
common,N,400.0,8,400,1.5,8,OracleDP,Poisson,NB,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,Poisson,ZIP,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,Poisson,Geom,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,Poisson,Binomial,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,Poisson,Bernoulli,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,NB,Poisson,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,NB,NB,148,1.0
common,N,400.0,8,400,1.5,8,OracleDP,NB,ZIP,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,NB,Geom,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,NB,Binomial,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,NB,Bernoulli,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,ZIP,Poisson,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,ZIP,NB,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,ZIP,ZIP,124,1.0
common,N,400.0,8,400,1.5,8,OracleDP,ZIP,Geom,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,ZIP,Binomial,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,ZIP,Bernoulli,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,Geom,Poisson,0,0.0
common,N,400.0,8,400,1.5,8,OracleDP,Geom,NB,0,0.0
