alpha_regime,sweep,N,anchor_d,anchor_N,kbar_in,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated
common,N,1600.0,8,1600,1.5,8,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.950138701496825,0.0060457922067435,0.9577597818657316,0.0052654377440172,0.45,0.05,0.88875,0.0104951588166096,0.0476989584391595,0.0038686491493924,45,0.0618542064508483,0.0037723592821971,100,9.15752862360235,0.43467120168719,0.1031704759053058,0.0078449423175763,11.2,9.823968188999132,0.3469580296191629,9.82324539299967,0.34695851436906,0.0007227959994634,5.936350533751887e-06,960.0
common,N,1600.0,8,1600,1.5,8,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.8857472049689441,0.0128785111225989,0.9366296819122908,0.0063332459472471,0.31,0.0464823198711731,0.84375,0.0139188439596008,0.0498021937984418,0.005183751324736,31,0.0910696275639094,0.0073806483711657,100,12.785477654546892,0.8533083402313448,0.1653380063129955,0.0131047589226822,10.37,0.6944281250007043,0.0183323857351776,0.6891394589950505,0.0182782192055723,0.0052886660056537,9.472399480469352e-05,129.44
common,N,1600.0,8,1600,1.5,8,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9460820668271468,0.0064610801460554,0.9535878639285964,0.0057610176553128,0.43,0.0497569851956243,1.0,0.0,0.0468748968777773,0.0040191265962074,43,0.059912944026281,0.0036772474796272,100,9.080995850524868,0.442921127726693,0.1027165201128418,0.0079219325395475,11.21,3.1437469940003937,0.2642618175822283,3.1430527600014466,0.2642614192713451,0.0006942339989473,6.026307932918268e-06,960.0
common,N,1600.0,8,1600,1.5,8,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.080639948593307,0.0131000522490528,0.3409102815007041,0.030335053809732,0.0,0.0,,,,,0,,,0,,,,,0.71,2.207716073001502,0.204518533161347,,,,,
common,N,1600.0,8,1600,1.5,8,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0126666666666666,0.0049107194236712,0.0648809523809523,0.0096920320216812,0.0,0.0,,,,,0,,,0,,,,,0.09,0.3223422949996893,0.0026809303676851,,,,,
common,N,1600.0,8,1600,1.5,8,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.4905452847805789,0.0188837186814641,0.8474599580210698,0.0079043966277104,0.0,0.0,,,,,0,,,0,,,,,4.65,4.542073245000211,0.1776214732868764,,,,,
common,N,1600.0,8,1600,1.5,8,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.58220405192752,0.013909893457575,0.7927968399031948,0.0079774462593405,0.0,0.0,,,,,0,,,0,,,,,8.08,0.6214764519991877,0.037611873097435,,,,,
common,N,2400.0,8,2400,1.5,8,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9668442658790484,0.004579066037898,0.9700856259682348,0.0040027814881953,0.54,0.0500908265962033,0.91625,0.0094104967719536,0.0432938285644863,0.0035789114451853,54,0.051813147934528,0.0032587475940628,100,8.00087562111672,0.4295195638200865,0.0810120389220632,0.006522549025478,11.47,14.442530878998804,0.5090556267242213,14.441814093999271,0.5090551620558169,0.0007167849995312,5.090537961233745e-06,960.0
common,N,2400.0,8,2400,1.5,8,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9035440038222649,0.0135897753239787,0.9488172088780784,0.0055738628970032,0.38,0.0487831731214563,0.875,0.012934372029518,0.045302807785279,0.0046810764038346,38,0.0788742123930389,0.0066103571023851,100,11.317251205093369,0.7974613953925954,0.1371981444340835,0.0124025210831832,10.65,1.04123047999994,0.0276541240865535,1.0357494440083974,0.0276183015751652,0.0054810359915427,8.115530977608402e-05,130.0
common,N,2400.0,8,2400,1.5,8,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9616992587123022,0.0049055509282798,0.9649043869174304,0.0045006863861224,0.49,0.0502418393795691,1.0,0.0,0.0409726714866062,0.0034341993358648,49,0.0504226412461352,0.0029406871325739,100,7.899817465538735,0.4151498983681518,0.0794813505606675,0.006302592495475,11.45,4.624372439999861,0.3912827042065265,4.6236807969998335,0.3912826313855756,0.0006916430000273,8.456949887059414e-06,960.0
common,N,2400.0,8,2400,1.5,8,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.097835323087645,0.0138316102360885,0.3606072572590122,0.0303243693312211,0.0,0.0,,,,,0,,,0,,,,,0.84,2.937030147999758,0.2743232324034661,,,,,
common,N,2400.0,8,2400,1.5,8,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0099047619047619,0.0041588733548813,0.0694010989010989,0.0094365769872721,0.0,0.0,,,,,0,,,0,,,,,0.07,0.4547670630004722,0.0040343437301876,,,,,
common,N,2400.0,8,2400,1.5,8,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5154061075924719,0.0175959758143125,0.8768777229635353,0.0071451026028364,0.0,0.0,,,,,0,,,0,,,,,5.02,6.465464771999686,0.2496298342819498,,,,,
common,N,2400.0,8,2400,1.5,8,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5798401518870844,0.0140615191706937,0.8189045821517213,0.0074368825697608,0.0,0.0,,,,,0,,,0,,,,,7.79,0.786332653999707,0.0442690111129476,,,,,
common,N,3200.0,8,3200,1.5,8,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9730920885877408,0.0040938177943418,0.9764283204717988,0.0037732030543352,0.6,0.0492365963917331,0.90875,0.0106385460292354,0.0404704731574433,0.0035915196732419,60,0.0474644125690233,0.0030605859318685,100,7.405321935343798,0.4420597624629969,0.0719594901633445,0.0062551738450043,11.57,19.318944011998973,0.6989575421443557,19.318206627999608,0.698956727538531,0.000737383999367,7.458088761159445e-06,960.0
common,N,3200.0,8,3200,1.5,8,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9048773133045444,0.0149604751869568,0.9542941793523028,0.0066955122205531,0.47,0.0501613558046591,0.86375,0.0148747930976188,0.0436340380621878,0.0044466968657084,47,0.0740035606941371,0.0062920827244446,100,10.566184597948276,0.7933899647105338,0.1306314814667778,0.0128445658897422,10.72,1.3719268969993572,0.0365288073837699,1.366121435987152,0.0364877868064102,0.0058054610122053,8.280302966567325e-05,130.51
common,N,3200.0,8,3200,1.5,8,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9686252690948344,0.0046730398171216,0.9710689083862996,0.0043450965904087,0.55,0.05,1.0,0.0,0.0399073963642847,0.0039110785458566,55,0.0477266308105704,0.0031215389207407,100,7.435442825263385,0.451423752557792,0.0714877024348628,0.0063316843272716,11.58,6.108410775001394,0.5285649228544429,6.107712761000585,0.528564483667907,0.000698014000809,5.416453582348365e-06,960.0
common,N,3200.0,8,3200,1.5,8,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.1023852643400631,0.0128084977262775,0.3758705442658128,0.0305594844730595,0.0,0.0,,,,,0,,,0,,,,,0.91,4.073480228000844,0.3942524856192427,,,,,
common,N,3200.0,8,3200,1.5,8,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0222527472527472,0.0061465487729719,0.0814409609997845,0.0105868727258854,0.0,0.0,,,,,0,,,0,,,,,0.16,0.5733641030004947,0.0041033309122261,,,,,
common,N,3200.0,8,3200,1.5,8,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5489407009735452,0.0193328100019455,0.9003939096753741,0.0069265543600115,0.0,0.0,,,,,0,,,0,,,,,5.52,7.97424914200019,0.304104539978148,,,,,
common,N,3200.0,8,3200,1.5,8,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5816032959862817,0.014303384155346,0.8123058250477633,0.0083994341560687,0.0,0.0,,,,,0,,,0,,,,,7.83,0.9912382160004928,0.0601779279017145,,,,,
common,N,6400.0,8,6400,1.5,8,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9810191040843216,0.0030960279708076,0.983485770750988,0.0027881772105585,0.67,0.047258156262526,0.935,0.0084237518932834,0.0280619348024244,0.0023447484063021,67,0.0342330690743502,0.0024066316419708,100,5.169141586816785,0.3142926152862214,0.047602950136908,0.0045997546429014,11.75,38.68174864800108,1.3953144701314306,38.68101259700066,1.3953149642275684,0.0007360510004218,6.78241399616016e-06,960.0
common,N,6400.0,8,6400,1.5,8,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9287980541197932,0.0128886945272456,0.9631943027986506,0.0056123302791028,0.55,0.05,0.90375,0.0116307618500303,0.028935646408428,0.0027090145249986,55,0.0595426338283143,0.0065494472746328,100,8.097588152562027,0.7657544111132508,0.1037776174302803,0.0126321327458472,11.09,2.727585014000069,0.0654345938258336,2.721049845995003,0.0653924147625083,0.0065351680050662,8.88480410371621e-05,131.78
common,N,6400.0,8,6400,1.5,8,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9780786223438398,0.0032346553047507,0.9797119556771732,0.0030273736168254,0.62,0.0487831731214563,1.0,0.0,0.028400732864758,0.0024924374855821,62,0.034403826916065,0.0024341647693981,100,5.1871629240652455,0.3144328583078308,0.0448107297133004,0.0039315886066903,11.77,12.162424633999764,1.0535260276611942,12.161715991000529,1.0535250547904886,0.0007086429992341,6.7335593175368485e-06,960.0
common,N,6400.0,8,6400,1.5,8,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.1184772476866298,0.0152201229478434,0.371556477442182,0.0304670059806405,0.0,0.0,,,,,0,,,0,,,,,1.1,5.6471331060004015,0.5805949471457483,,,,,
common,N,6400.0,8,6400,1.5,8,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0085714285714285,0.0039685425580487,0.0791593406593406,0.0100811266723273,0.0,0.0,,,,,0,,,0,,,,,0.06,1.0786624189994471,0.0081694535679525,,,,,
common,N,6400.0,8,6400,1.5,8,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5905725791460749,0.0193308945334062,0.9251862809196908,0.006235856117484,0.0,0.0,,,,,0,,,0,,,,,6.0,14.827546755000805,0.5636028920697224,,,,,
common,N,6400.0,8,6400,1.5,8,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.6099817680242838,0.0151719801734561,0.8522778596581422,0.0081303798420372,0.0,0.0,,,,,0,,,0,,,,,7.79,1.620724809999956,0.1079031619025013,,,,,
common,N,10000.0,8,10000,1.5,8,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9837929664538358,0.0030688585010179,0.9846262997871692,0.0029970426351197,0.74,0.0440844002276808,0.94375,0.0076158974480617,0.0232740446525851,0.0016063433687219,74,0.0293393864215001,0.0020977538829087,100,4.559278171749934,0.2785873032651637,0.040007250789715,0.0043699093745906,11.82,60.88135013400068,2.1686674967419988,60.88060796000005,2.168667346603905,0.0007421740006248,5.157255838466281e-06,960.0
common,N,10000.0,8,10000,1.5,8,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.924307661903314,0.0134981991363375,0.961597482871396,0.00601710608639,0.59,0.049431107042371,0.9025,0.0118625333284967,0.0251373273155943,0.0019889720054242,59,0.0539452317250652,0.0056903907979125,100,7.404171427677592,0.691118155310056,0.0989103620573395,0.0125706696854588,11.07,4.263759006000909,0.1038202535567598,4.256919195005903,0.1037908626156578,0.0068398109950067,8.489676444130142e-05,130.95
common,N,10000.0,8,10000,1.5,8,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9815894969764536,0.0033849995620555,0.9823894969764536,0.0032336313300886,0.72,0.0451260859854212,1.0,0.0,0.0229618758741887,0.0016130375952842,72,0.0302111624754557,0.002208931958332,100,4.629758106711667,0.2841723811278845,0.039601160859905,0.0041498392317914,11.82,19.180675684999443,1.6453317672797585,19.17995736799974,1.6453315556161954,0.0007183169997006,7.944310137500451e-06,960.0
common,N,10000.0,8,10000,1.5,8,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.1316821557355613,0.01557376610449,0.394365761177546,0.0303141253313491,0.0,0.0,,,,,0,,,0,,,,,1.28,10.046382813000236,1.0505420013296254,,,,,
common,N,10000.0,8,10000,1.5,8,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0251785714285714,0.0069929019509299,0.1052923400129282,0.0116564571735061,0.0,0.0,,,,,0,,,0,,,,,0.18,1.6759283660000073,0.010359912277351,,,,,
common,N,10000.0,8,10000,1.5,8,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.6242392479493705,0.0207962545706077,0.9419066856865486,0.0056760296404819,0.03,0.0171446607997765,,,,,0,,,0,,,,,6.46,22.69277949100011,0.7431875639121606,,,,,
