setting,regime,sweep,sweep_value,method,expected_R,R_total,R_success,R_failed,mean_F1,sd_F1,se_F1,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high,mean_runtime_sec
all_poisson,restricted,dimension,6.0,PB-SCM,100,100,100,0,0.5336749155557206,0.18101987225680358,0.018101987225680356,0.49819502059338705,0.569154810518054,0.49819502059338705,0.569154810518054,5.268576427999069
all_poisson,restricted,dimension,6.0,PB-SCM-PGF,100,100,100,0,0.016083916083916083,0.06312514572599177,0.006312514572599177,0.0037113875216216955,0.02845644464621047,0.0037113875216216955,0.02845644464621047,0.23009065399877726
all_poisson,restricted,dimension,7.0,Proposed DP-BIC,100,100,100,0,0.98003007518797,0.04104264777350404,0.004104264777350404,0.9719857162243632,0.9880744341515768,0.9719857162243632,0.9880744341515768,4.221479992998647
all_poisson,restricted,dimension,7.0,Greedy-BIC,100,100,100,0,0.8553350041771095,0.1936832662767354,0.01936832662767354,0.8173730839868694,0.8932969243673496,0.8173730839868694,0.8932969243673496,0.8647981080005411
all_poisson,restricted,dimension,7.0,Poisson-only DP,100,100,100,0,0.9814586466165415,0.03916538909524475,0.0039165389095244755,0.9737822303538735,0.9891350628792095,0.9737822303538735,0.9891350628792095,0.14617916000017428
all_poisson,restricted,dimension,7.0,ODS,100,100,100,0,0.7835873803287992,0.12457234787043227,0.012457234787043227,0.7591712001461944,0.8080035605114039,0.7591712001461944,0.8080035605114039,0.4734331070014741
all_poisson,restricted,dimension,7.0,PC-RCIT,100,100,100,0,0.5403141139046711,0.2409866316099401,0.02409866316099401,0.49308073410912284,0.5875474937002194,0.49308073410912284,0.5875474937002194,6.245280291001546
all_poisson,restricted,dimension,7.0,PB-SCM,100,100,100,0,0.4740940377991461,0.16090439860325612,0.01609043986032561,0.4425567756729079,0.5056312999253842,0.4425567756729079,0.5056312999253842,8.66892033099546
all_poisson,restricted,dimension,7.0,PB-SCM-PGF,100,100,100,0,0.006666666666666665,0.040479727089927024,0.004047972708992703,-0.0012673598429590307,0.01460069317629236,0.0,0.01460069317629236,0.38029084299574606
all_poisson,restricted,dimension,8.0,Proposed DP-BIC,100,100,100,0,0.9871666666666666,0.038528998509569305,0.0038528998509569307,0.979614982958791,0.9947183503745423,0.979614982958791,0.9947183503745423,9.972362555999425
all_poisson,restricted,dimension,8.0,Greedy-BIC,100,100,100,0,0.8483583392452957,0.19928361494327443,0.019928361494327442,0.8092987507164139,0.8874179277741775,0.8092987507164139,0.8874179277741775,1.2117391579953256
all_poisson,restricted,dimension,8.0,Poisson-only DP,100,100,100,0,0.988,0.03398025438384801,0.003398025438384801,0.9813398701407657,0.9946601298592342,0.9813398701407657,0.9946601298592342,0.3193003629957093
all_poisson,restricted,dimension,8.0,ODS,100,100,100,0,0.7649816311053577,0.14226103378314997,0.014226103378314998,0.7370984684838603,0.792864793726855,0.7370984684838603,0.792864793726855,0.5924133000004804
all_poisson,restricted,dimension,8.0,PC-RCIT,100,100,100,0,0.5137966243012009,0.23794382342348586,0.023794382342348586,0.46715963491019763,0.5604336136922041,0.46715963491019763,0.5604336136922041,8.76116863199917
all_poisson,restricted,dimension,8.0,PB-SCM,100,100,100,0,0.46828977152952783,0.15959705336509364,0.015959705336509363,0.4370087490699695,0.49957079398908616,0.4370087490699695,0.49957079398908616,12.547246374999522
all_poisson,restricted,dimension,8.0,PB-SCM-PGF,100,100,100,0,0.015178571428571423,0.05326239629611389,0.005326239629611389,0.0047391417545331015,0.025618001102609745,0.0047391417545331015,0.025618001102609745,0.589029066998628
all_poisson,restricted,dimension,9.0,Proposed DP-BIC,100,100,100,0,0.9885139573070607,0.03128329474054434,0.0031283294740544337,0.982382431537914,0.9946454830762074,0.982382431537914,0.9946454830762074,19.364917635996825
all_poisson,restricted,dimension,9.0,Greedy-BIC,100,100,100,0,0.8388169199893337,0.18303578098334294,0.018303578098334293,0.8029419069165985,0.8746919330620689,0.8029419069165985,0.8746919330620689,1.4548944230016787
all_poisson,restricted,dimension,9.0,Poisson-only DP,100,100,100,0,0.9885139573070607,0.03128329474054434,0.0031283294740544337,0.982382431537914,0.9946454830762074,0.982382431537914,0.9946454830762074,0.5753966269979719
